query_index,query_id,timepoint,recall,ndcg,density_log_distortion,zero_recall,seconds
1675,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1675,2-3,0.13333333333333333,0.08875742484554909,0.10656975,False,0.0690095741301775
2721,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2721,4-5,0.2,0.15447988541004187,0.06499531,False,0.06867122184485197
3851,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:3851,6-7,0.26666666666666666,0.3533774399324487,0.053332716,False,0.0684858001768589
5917,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5917,8-9,0.06666666666666667,0.0475902379018706,0.30362645,False,0.06885995157063007
400,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:400,0-1,0.06666666666666667,0.17060921827860476,0.27941287,False,0.06905017979443073
2174,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2174,2-3,0.13333333333333333,0.11069095544897115,0.35740018,False,0.0688343234360218
2490,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2490,4-5,0.2,0.18482665313515514,0.28780138,False,0.06888285558670759
3998,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:3998,6-7,0.2,0.3072723196565508,0.63993263,False,0.06816701404750347
5844,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5844,8-9,0.0,0.0,0.1640455,True,0.06861733552068472
280,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:280,0-1,0.0,0.0,0.089392595,True,0.06907672807574272
2085,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2085,2-3,0.2,0.15797008365075563,0.7221553,False,0.06921458151191473
3401,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:3401,4-5,0.0,0.0,0.06009656,True,0.06871725618839264
3794,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:3794,6-7,0.0,0.0,0.16773458,True,0.06868829112499952
5590,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5590,8-9,0.06666666666666667,0.053821216022769555,0.18873744,False,0.06928643304854631
786,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:786,0-1,0.13333333333333333,0.08977391880083624,0.30550113,False,0.06900837179273367
2309,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2309,2-3,0.13333333333333333,0.10618686347613708,0.39508593,False,0.06841765064746141
3078,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:3078,4-5,0.06666666666666667,0.17060921827860476,0.43482366,False,0.06904878932982683
4466,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4466,6-7,0.06666666666666667,0.0475902379018706,0.091919884,False,0.06885565165430307
5106,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5106,8-9,0.2,0.17218751850730601,0.25015652,False,0.06873744912445545
574,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:574,0-1,0.0,0.0,0.31940708,True,0.068649185821414
1583,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1583,2-3,0.2,0.22871006085123144,0.22915529,False,0.0683441087603569
3172,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:3172,4-5,0.06666666666666667,0.10764243204553911,0.026682712,False,0.0689320582896471
4244,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4244,6-7,0.26666666666666666,0.21025725137734302,0.036427207,False,0.06886408571153879
5230,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5230,8-9,0.0,0.0,0.467874,True,0.06891716551035643
879,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:879,0-1,0.0,0.0,0.25915837,True,0.06880164612084627
1611,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1611,2-3,0.2,0.18033189990288434,0.20461091,False,0.06844050902873278
2772,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2772,4-5,0.0,0.0,0.11551973,True,0.06890727113932371
4587,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4587,6-7,0.5333333333333333,0.5547431355790432,0.3022025,False,0.06895437464118004
6169,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:6169,8-9,0.0,0.0,0.810677,True,0.0683346800506115
788,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:788,0-1,0.06666666666666667,0.10764243204553911,0.14824985,False,0.06886971369385719
1152,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1152,2-3,0.06666666666666667,0.053821216022769555,0.053762026,False,0.06868033669888973
2421,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2421,4-5,0.0,0.0,0.18918166,True,0.06884580664336681
4484,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4484,6-7,0.0,0.0,0.09764878,True,0.06880956143140793
5776,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5776,8-9,0.26666666666666666,0.22651605442260153,0.14137876,False,0.06871523335576057
885,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:885,0-1,0.0,0.0,0.22067308,True,0.0691094109788537
1181,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1181,2-3,0.13333333333333333,0.1082282316648452,0.06045468,False,0.06909922324120998
2683,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2683,4-5,0.0,0.0,0.31948853,True,0.06911227200180292
