dataset,method,phase,success,status,reason,source,selected_success
fashion_mnist,spectral_only,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/embedding.json,True
fashion_mnist,standard_umap,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/embedding.json,True
fashion_mnist,standard_umap,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/baseline_comparison.csv,True
fashion_mnist,reduced_repulsion_umap,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/baseline_comparison.csv,True
fashion_mnist,weighted_knn,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/baseline_comparison.csv,True
fashion_mnist,parametric_umap,internal_baselines,False,unavailable,"umap.parametric_umap.ParametricUMAP requires the optional 'tensorflow' dependency, not installed in this environment (umap.parametric_umap requires Tensorflow >= 2.0). Install with: pip install tensorflow",/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/baseline_comparison.csv,False
fashion_mnist,numap,internal_baselines,False,unavailable,The official NUMAP/Sep-SpectralNet package is not installed in this environment (No module named 'numap'). Repository: https://github.com/shaham-lab/NUMAP . Install with: pip install numap==0.2.3 (see pyproject.toml's 'external-baselines' extra).,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/baseline_comparison.csv,True
fashion_mnist,paramrepulsor,internal_baselines,False,unavailable,The official ParamRepulsor package is not installed in this environment (No module named 'parampacmap'). Repository: https://github.com/hyhuang00/ParamRepulsor . Install with: pip install parampacmap==0.1.0 (requires Python <3.12; see pyproject.toml's 'external-baselines' extra).,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/baseline_comparison.csv,True
fashion_mnist,ours,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/baseline_comparison.csv,True
fashion_mnist,ours_oracle_neighbors,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/baseline_comparison.csv,True
fashion_mnist,no_repulsion,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/baseline_comparison.csv,True
fashion_mnist,exact_repulsion_diagnostic,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/baseline_comparison.csv,True
fashion_mnist,standard_umap,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/timing.json,True
fashion_mnist,reduced_repulsion_umap,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/timing.json,True
fashion_mnist,weighted_knn,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/timing.json,True
fashion_mnist,ours,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/timing.json,True
fashion_mnist,ours_oracle_neighbors,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/timing.json,True
fashion_mnist,no_repulsion,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/timing.json,True
fashion_mnist,exact_repulsion_diagnostic,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/timing.json,True
mnist_oos,ours,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/mnist_oos/main/metrics/embedding.json,True
mnist_oos,ours_oracle_neighbors,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/mnist_oos/main/metrics/embedding.json,True
mnist_oos,no_repulsion,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/mnist_oos/main/metrics/embedding.json,True
mnist_oos,repulsion_oracle_diagnostic,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/mnist_oos/main/metrics/embedding.json,True
mnist_oos,spectral_only,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/mnist_oos/main/metrics/embedding.json,True
mnist_oos,standard_umap,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/mnist_oos/main/metrics/embedding.json,True
