stage,context,teacher,w,scale,group,n,recall,ndcg,density,zero_recall,seconds,macro_recall,evaluation_seconds
confirmation,temporal0,Uniform,1.0,2,4-5,2000,0.004266666666666667,0.003832184260093618,4.455705642700195,0.977,138.97300472669303,0.0029333333333333334,0.5053417533636093
confirmation,temporal0,Uniform,1.0,2,8-9,2000,0.0016,0.001374266853568455,4.458014965057373,0.9925,138.97905013617128,0.0029333333333333334,0.5053417533636093
confirmation,temporal0,FitGrid,0.5,2,micro,4000,0.11043333333333334,0.11638668759683057,0.28571727871894836,0.27575,276.12833115272224,0.11043333333333333,0.4996658246964216
confirmation,temporal0,FitGrid,0.5,2,4-5,2000,0.10269999999999999,0.10897394625491579,0.28840556740760803,0.2875,138.07106604706496,0.11043333333333333,0.4996658246964216
confirmation,temporal0,FitGrid,0.5,2,8-9,2000,0.11816666666666667,0.12379942893874539,0.28302904963493347,0.264,138.05726510565728,0.11043333333333333,0.4996658246964216
confirmation,temporal0,FitGrid,0.0,1,micro,4000,0.10298333333333332,0.10647834541656903,0.27672064304351807,0.299,278.62202778458595,0.10298333333333333,0.499744133092463
confirmation,temporal0,FitGrid,0.0,1,4-5,2000,0.09759999999999999,0.1017931874899505,0.27978113293647766,0.31,139.31058576144278,0.10298333333333333,0.499744133092463
confirmation,temporal0,FitGrid,0.0,1,8-9,2000,0.10836666666666667,0.11116350334318754,0.27366021275520325,0.288,139.31144202314317,0.10298333333333333,0.499744133092463
confirmation,temporal0,FitGrid,0.0,2,micro,4000,0.10473333333333332,0.10929553793131021,0.2818251848220825,0.30425,279.86126965098083,0.10473333333333334,0.4988636029884219
confirmation,temporal0,FitGrid,0.0,2,4-5,2000,0.10003333333333334,0.10498065497876533,0.2815372347831726,0.3125,139.92092961538583,0.10473333333333334,0.4988636029884219
confirmation,temporal0,FitGrid,0.0,2,8-9,2000,0.10943333333333333,0.11361042088385512,0.2821131944656372,0.296,139.940340035595,0.10473333333333334,0.4988636029884219
confirmation,temporal0,FitGrid,1.0,1,micro,4000,0.0024,0.0020773337450011265,3.037612199783325,0.98275,276.34910007286817,0.0024000000000000002,0.5021269684657454
confirmation,temporal0,FitGrid,1.0,1,4-5,2000,0.0028,0.0024857093202051415,3.155963897705078,0.981,138.2153579108417,0.0024000000000000002,0.5021269684657454
