context,teacher,w,scale,step,weighted_attraction_norm,weighted_repulsion_norm,repulsion_fraction,clipped
temporal0,Uniform,0.0,1,100,1.3480009399354458,0.0,0.0,0.0
temporal0,Uniform,0.0,1,199,0.29275400564074516,0.0,0.0,0.0
temporal0,Uniform,0.0,2,0,3.587289035320282,0.0,0.0,0.25
temporal0,Uniform,0.0,2,1,1.8119400758296251,0.0,0.0,0.0
temporal0,Uniform,0.0,2,10,3.5166324973106384,0.0,0.0,0.0
temporal0,Uniform,0.0,2,50,3.692771725356579,0.0,0.0,0.375
temporal0,Uniform,0.0,2,100,3.9064905494451523,0.0,0.0,0.625
temporal0,Uniform,0.0,2,199,0.4444455299526453,0.0,0.0,0.0
temporal0,Uniform,0.2,2,0,2.8698312282562255,0.2604760177433491,0.12325399479049617,0.25
temporal0,Uniform,0.2,2,1,1.5112954825162888,0.0718814816325903,0.0943872509208527,0.0
temporal0,Uniform,0.2,2,10,2.6389200687408447,0.07029316909611225,0.029776930761322522,0.0
temporal0,Uniform,0.2,2,50,2.5520856976509094,0.059014289267361165,0.029136929778304517,0.0
temporal0,Uniform,0.2,2,100,2.975473201274872,0.0830887395888567,0.03887054240742707,0.125
temporal0,Uniform,0.2,2,199,0.4427397921681404,0.11814422886818647,0.22242205401877763,0.0
temporal0,Uniform,0.3333333333333333,2,0,2.391526023546855,0.4341266962389151,0.2025657433330328,0.125
temporal0,Uniform,0.3333333333333333,2,1,1.2734996837874255,0.11547654432555039,0.1477238809561867,0.0
temporal0,Uniform,0.3333333333333333,2,10,2.128203824162483,0.08570955942074457,0.07017729158479985,0.0
temporal0,Uniform,0.3333333333333333,2,50,1.8957298845052721,0.09845689497888087,0.054558251775755406,0.0
temporal0,Uniform,0.3333333333333333,2,100,1.972553720076879,0.14250359125435352,0.11273307148271555,0.125
temporal0,Uniform,0.3333333333333333,2,199,0.45273706813653314,0.19572807662189004,0.3026795708812828,0.0
temporal0,Uniform,0.5,2,0,1.793644517660141,0.6511900443583727,0.3076037518422932,0.0
temporal0,Uniform,0.5,2,1,0.9764246856793761,0.13877662550657988,0.20978406990478113,0.0
temporal0,Uniform,0.5,2,10,1.3883629441261292,0.13409730792045593,0.12089332412240514,0.0
temporal0,Uniform,0.5,2,50,1.420982550829649,0.1433401801623404,0.09764884913186328,0.0
temporal0,Uniform,0.5,2,100,1.2632506843656301,0.20585583709180355,0.26966774004187305,0.0
temporal0,Uniform,0.5,2,199,0.4576850887387991,0.2902638344094157,0.3984781693438146,0.0
temporal0,Uniform,0.6666666666666666,2,0,1.1957630117734275,0.8682533924778302,0.43277689126615887,0.0
temporal0,Uniform,0.6666666666666666,2,1,0.635557641585668,0.13812612369656563,0.28208382298155854,0.0
temporal0,Uniform,0.6666666666666666,2,10,0.940032740434011,0.17181676750381786,0.20282418702936983,0.0
temporal0,Uniform,0.6666666666666666,2,50,0.8114798242847125,0.19830932468175888,0.24955988462759704,0.0
temporal0,Uniform,0.6666666666666666,2,100,0.7576056594649951,0.2748941667377949,0.3222723191297478,0.0
temporal0,Uniform,0.6666666666666666,2,199,0.456786509603262,0.38137892199059326,0.511167325989937,0.0
temporal0,Uniform,0.8,2,0,0.7174578070640563,1.0419040709733964,0.568142731337065,0.0
temporal0,Uniform,0.8,2,1,0.37548874095082274,0.15412386879324913,0.3791864238679419,0.0
temporal0,Uniform,0.8,2,10,0.5787894263863562,0.21060962080955506,0.28726558966961757,0.0
temporal0,Uniform,0.8,2,50,0.5086416870355605,0.28168499618768694,0.4058748369864771,0.0
temporal0,Uniform,0.8,2,100,0.4982883483171462,0.3426075085997582,0.43021071667746175,0.0
temporal0,Uniform,0.8,2,199,0.485174836218357,0.4553850241005421,0.49738170172270785,0.0
temporal0,Uniform,1.0,1,0,0.0,0.6511900443583727,1.0,0.0
temporal0,Uniform,1.0,1,1,0.0,0.12741682305932045,1.0,0.0
temporal0,Uniform,1.0,1,10,0.0,0.0928821712732315,1.0,0.0
temporal0,Uniform,1.0,1,50,0.0,0.07786826603114605,1.0,0.0
temporal0,Uniform,1.0,1,100,0.0,0.13823874085210264,1.0,0.0
temporal0,Uniform,1.0,1,199,0.0,0.1571911326609552,1.0,0.0
temporal0,Uniform,1.0,2,0,0.0,1.3023800887167454,1.0,0.0
temporal0,Uniform,1.0,2,1,0.0,0.2560917343944311,1.0,0.0
temporal0,Uniform,1.0,2,10,0.0,0.24665816128253937,1.0,0.0
temporal0,Uniform,1.0,2,50,0.0,0.24132361821830273,1.0,0.0
temporal0,Uniform,1.0,2,100,0.0,0.10621705977246165,1.0,0.0
temporal0,Uniform,1.0,2,199,0.0,0.1508569484576583,1.0,0.0
