context,teacher,w,scale,query_index,step,optimization_time,attraction_norm,repulsion_norm,weighted_attraction_norm,weighted_repulsion_norm,repulsion_fraction,zero_denominator,preclip_norm,clipped,finite
temporal0,Uniform,0.3333333333333333,2,182,50,0.25,1.1759036779403687,0.16196458041667938,1.5678715705871584,0.10797638694445291,0.06443089688368472,False,1.674293875694275,False,True
temporal0,Uniform,0.3333333333333333,2,182,100,0.5,0.442950576543808,0.2091519832611084,0.5906007687250774,0.13943465550740558,0.19099710901563322,False,0.5412976145744324,False,True
temporal0,Uniform,0.3333333333333333,2,182,199,0.995,0.14351871609687805,0.16790896654129028,0.19135828812917074,0.11193931102752686,0.36907417447011776,False,0.20393340289592743,False,True
temporal0,Uniform,0.3333333333333333,2,10682,0,0.0,1.1701395511627197,0.15069444477558136,1.5601860682169597,0.1004629631837209,0.060496204365943024,False,1.4813894033432007,False,True
temporal0,Uniform,0.3333333333333333,2,10682,1,0.005,1.9639203548431396,0.18107950687408447,2.6185604731241865,0.12071967124938965,0.04406985225565385,False,2.521989583969116,False,True
temporal0,Uniform,0.3333333333333333,2,10682,10,0.05,1.6994709968566895,0.13940365612506866,2.265961329142253,0.09293577075004578,0.039397975754978456,False,2.3432531356811523,False,True
temporal0,Uniform,0.3333333333333333,2,10682,50,0.25,1.3843132257461548,0.13545052707195282,1.84575096766154,0.09030035138130188,0.0466415071197313,False,1.8692424297332764,False,True
temporal0,Uniform,0.3333333333333333,2,10682,100,0.5,2.565778970718384,0.14894285798072815,3.421038627624512,0.09929523865381876,0.02820619930540648,False,3.32521390914917,False,True
temporal0,Uniform,0.3333333333333333,2,10682,199,0.995,0.17480142414569855,0.23512068390846252,0.23306856552759808,0.15674712260564166,0.402105731958292,False,0.23637638986110687,False,True
temporal0,Uniform,0.5,2,3175,0,0.0,3.760935068130493,0.56549072265625,3.760935068130493,0.56549072265625,0.13070621108548305,False,4.03294563293457,False,True
temporal0,Uniform,0.5,2,3175,1,0.005,1.4392839670181274,0.1572379320859909,1.4392839670181274,0.1572379320859909,0.09848780162315614,False,1.2843375205993652,False,True
temporal0,Uniform,0.5,2,3175,10,0.05,1.8634672164916992,0.08869829028844833,1.8634672164916992,0.08869829028844833,0.04543584546514453,False,1.8720513582229614,False,True
temporal0,Uniform,0.5,2,3175,50,0.25,0.41888442635536194,0.06953170150518417,0.41888442635536194,0.06953170150518417,0.14236160015796417,False,0.3749666213989258,False,True
temporal0,Uniform,0.5,2,3175,100,0.5,0.6501098871231079,0.16409093141555786,0.6501098871231079,0.16409093141555786,0.20153619067844908,False,0.804045557975769,False,True
temporal0,Uniform,0.5,2,3175,199,0.995,0.16307853162288666,0.04467927664518356,0.16307853162288666,0.04467927664518356,0.21505462065490133,False,0.17037032544612885,False,True
temporal0,Uniform,0.5,2,7113,0,0.0,0.8109220266342163,1.1407004594802856,0.8109220266342163,1.1407004594802856,0.5844882745490977,False,1.6975326538085938,False,True
temporal0,Uniform,0.5,2,7113,1,0.005,0.12428309768438339,0.09798350930213928,0.12428309768438339,0.09798350930213928,0.44083774270275605,False,0.16653907299041748,False,True
temporal0,Uniform,0.5,2,7113,10,0.05,1.1684372425079346,0.16745808720588684,1.1684372425079346,0.16745808720588684,0.12535270053063222,False,1.1277978420257568,False,True
temporal0,Uniform,0.5,2,7113,50,0.25,0.5794844031333923,0.05981851741671562,0.5794844031333923,0.05981851741671562,0.09356834685698437,False,0.6385554671287537,False,True
temporal0,Uniform,0.5,2,7113,100,0.5,0.8643802404403687,0.1970871537923813,0.8643802404403687,0.1970871537923813,0.18567424196278762,False,1.060181736946106,False,True
temporal0,Uniform,0.5,2,7113,199,0.995,0.4004528224468231,0.4995226263999939,0.4004528224468231,0.4995226263999939,0.5550402814210731,False,0.15467600524425507,False,True
temporal0,Uniform,0.5,2,4145,0,0.0,0.3477141857147217,0.7638750076293945,0.3477141857147217,0.7638750076293945,0.6871918260840096,False,1.062465786933899,False,True
temporal0,Uniform,0.5,2,4145,1,0.005,1.2894375324249268,0.08379798382520676,1.2894375324249268,0.08379798382520676,0.061022295763244035,False,1.3083957433700562,False,True
temporal0,Uniform,0.5,2,4145,10,0.05,2.4618687629699707,0.045280855149030685,2.4618687629699707,0.045280855149030685,0.018060691241475576,False,2.4628562927246094,False,True
temporal0,Uniform,0.5,2,4145,50,0.25,1.4982192516326904,0.07976539433002472,1.4982192516326904,0.07976539433002472,0.050548903966908074,False,1.4468661546707153,False,True
temporal0,Uniform,0.5,2,4145,100,0.5,1.3737574815750122,0.16086053848266602,1.3737574815750122,0.16086053848266602,0.10482122350982176,False,1.2149232625961304,False,True
