dataset,method,recall_at_15,standard_umap,absolute_gain,relative_gain
organoid,ours,0.1630113141862489,0.14604003481288075,0.016971279373368148,0.11620977353992851
organoid,ours_oracle_neighbors,0.1641427328111401,0.14604003481288075,0.018102697998259365,0.12395709177592379
organoid,no_repulsion,0.15535248041775457,0.14604003481288075,0.00931244560487382,0.06376638855780703
organoid,spectral_only,0.0536118363794604,0.14604003481288075,-0.09242819843342034,-0.6328963051251489
organoid,standard_umap,0.14604003481288075,0.14604003481288075,0.0,0.0
organoid,reduced_repulsion_umap,0.14612706701479547,0.14604003481288075,8.703220191472183e-05,0.0005959475566151096
organoid,weighted_knn,0.11201044386422976,0.14604003481288075,-0.03402959094865099,-0.23301549463647195
organoid,numap,0.01845082680591819,0.14604003481288075,-0.12758920800696255,-0.8736591179976162
organoid,paramrepulsor,0.06762402088772847,0.14604003481288075,-0.07841601392515228,-0.536948748510131
embryoid_body,ours,0.09058975185304545,0.07737673219465034,0.013213019658395109,0.17076218242399008
embryoid_body,ours_oracle_neighbors,0.08956923407455149,0.07737673219465034,0.012192501879901146,0.15757323337498233
embryoid_body,no_repulsion,0.0867332688795789,0.07737673219465034,0.009356536684928557,0.12092183812300421
embryoid_body,spectral_only,0.01601675797615211,0.07737673219465034,-0.06135997421849823,-0.793002915451895
embryoid_body,standard_umap,0.07737673219465034,0.07737673219465034,0.0,0.0
embryoid_body,reduced_repulsion_umap,0.07556128477817166,0.07737673219465034,-0.0018154474164786827,-0.02346244620297106
embryoid_body,weighted_knn,0.06084434418304867,0.07737673219465034,-0.016532388011601673,-0.21366097459391917
embryoid_body,numap,0.006520571489955957,0.07737673219465034,-0.07085616070469439,-0.9157295571289741
embryoid_body,paramrepulsor,0.04858738854871629,0.07737673219465034,-0.02878934364593405,-0.37206719422462875
