metric,method,coil20,coil100,pancreas,pancreas_batch_corrected,fashion_mnist,mnist_oos,organoid,embryoid_body,mean,median,n_datasets,mean_rank,median_rank,n_rank_datasets,wins,top2
recall_at_10,ours_oracle_neighbors,0.746388888888889,0.67,0.19615302415045952,0.10367599914511648,0.26975,0.24215,0.14086161879895562,0.0752175314212053,0.3055246328005783,0.21915151207522976,8,2.0,2.0,8,3.0,5.0
recall_at_10,paramrepulsor,0.513611111111111,0.3528333333333333,0.06518486856165848,0.02906603975208378,0.10345000000000001,0.08880000000000002,0.047650130548302874,0.035062842410570415,0.1544572907146325,0.07699243428082925,8,5.125,5.0,8,0.0,0.0
recall_at_10,spectral_only,0.2972222222222222,0.36194444444444446,0.04342808292370165,0.008164137636247062,0.06155,0.04395,0.039556135770234986,0.01145665485014502,0.10840895973087443,0.043689041461850826,8,5.875,6.0,8,0.0,0.0
recall_at_10,standard_umap,0.715,0.6221111111111112,0.16319726437272922,0.06862577473819192,0.23720000000000002,0.196,0.11396866840731072,0.057605543022881095,0.271713545206528,0.17959863218636463,8,4.0,4.0,8,0.0,0.0
recall_at_15,no_repulsion,0.7757407407407407,0.6935925925925926,0.23581961957683262,0.1046092469900976,0.3013,0.26683333333333337,0.15535248041775457,0.0867332688795789,0.3274976603163663,0.251326476455083,8,3.0,3.0,4,0.0,0.0
recall_at_15,numap,0.09518518518518518,0.06855555555555555,0.013364679062477737,0.010059129443613308,0.017900000000000003,0.04156666666666666,0.01845082680591819,0.006520571489955957,0.033950326776171574,0.018175413402959098,8,9.0,9.0,4,0.0,0.0
recall_at_15,ours,0.773888888888889,0.6938148148148148,0.2365462705706348,0.11697656194343518,0.30290000000000006,0.26966666666666667,0.1630113141862489,0.09058975185304545,0.33092428361546683,0.2531064686186507,8,1.5,1.5,4,2.0,4.0
recall_at_15,ours_oracle_neighbors,0.7740740740740741,0.6938888888888889,0.2366602550402508,0.11733276341098525,0.3033666666666667,0.26956666666666673,0.1641427328111401,0.08956923407455149,0.33107516020415306,0.25311346085345876,8,1.5,1.5,4,2.0,4.0
recall_at_15,paramrepulsor,0.6016666666666667,0.44370370370370377,0.09380921849398019,0.04083493623993731,0.1385,0.1176,0.06762402088772847,0.04858738854871629,0.1940407418175916,0.1057046092469901,8,7.0,7.0,4,0.0,0.0
recall_at_15,reduced_repulsion_umap,NaN,NaN,NaN,NaN,0.2893,0.23943333333333333,0.14612706701479547,0.07556128477817166,0.1876054212815751,0.1927802001740644,4,4.25,4.0,4,0.0,0.0
recall_at_15,spectral_only,0.32925925925925925,0.38662962962962966,0.05744817268647146,0.01145543919640949,0.07986666666666667,0.05553333333333333,0.0536118363794604,0.01601675797615211,0.1237276368909228,0.056490753009902396,8,8.0,8.0,4,0.0,0.0
recall_at_15,standard_umap,0.7611111111111111,0.6773703703703704,0.21044382702856732,0.09031844411198975,0.2859666666666667,0.23773333333333335,0.14604003481288075,0.07737673219465034,0.31079506495369624,0.22408858018095035,8,4.75,5.0,4,0.0,0.0
recall_at_15,weighted_knn,NaN,NaN,NaN,NaN,0.2557,0.20456666666666667,0.11201044386422976,0.06084434418304867,0.15828036367848627,0.15828855526544822,4,6.0,6.0,4,0.0,0.0
recall_at_30,no_repulsion,0.729537037037037,0.6861111111111111,0.2978984113414547,0.14051435491914227,0.3574833333333334,0.31693333333333334,0.2063533507397737,0.1206842840262112,0.3569394019801746,0.30741587233739404,8,2.625,3.0,8,1.0,2.0
recall_at_30,numap,0.09361111111111112,0.09077777777777778,0.02283251406995797,0.017589228467621287,0.028566666666666667,0.062433333333333334,0.02732811140121845,0.011429799119132023,0.04432106774335232,0.02794738903394256,8,7.0,7.0,8,0.0,0.0
recall_at_30,ours,0.729074074074074,0.6859074074074073,0.29913086841917785,0.15020303483650352,0.35855000000000004,0.31955,0.21166231505657093,0.12479321087119992,0.3598588638331167,0.3093404342095889,8,1.625,1.0,8,6.0,6.0
recall_at_30,ours_oracle_neighbors,0.7291666666666666,0.6859814814814816,0.29843271354277984,0.14961174040037045,0.35831666666666667,0.3193666666666667,0.2102697998259356,0.12308518637877323,0.3592788652036676,0.3088996901047233,8,2.125,2.0,8,0.0,7.0
recall_at_30,paramrepulsor,0.6555555555555556,0.5630740740740741,0.15686400227968939,0.06813421671297284,0.2136,0.1807,0.11583986074847694,0.08347835428080351,0.25465575795644657,0.1687820011398447,8,5.0,5.0,8,0.0,0.0
recall_at_30,spectral_only,0.4099074074074074,0.4285,0.09246990097599203,0.02055282467763767,0.12016666666666667,0.08480000000000001,0.08986074847693647,0.027747341282629717,0.15925061118590875,0.09116532472646424,8,6.0,6.0,8,0.0,0.0
recall_at_30,standard_umap,0.7338888888888888,0.6785370370370369,0.2817054926266296,0.12581748236802737,0.3538166666666667,0.3052333333333333,0.19547432550043517,0.1131915350735847,0.34845809518682536,0.2934694129799814,8,3.625,4.0,8,1.0,1.0
ndcg,no_repulsion,0.7967581329060096,0.7477084410931182,0.3228471674870938,0.14747666745770358,0.38980646928315354,0.34374583298296274,0.2207254695438587,0.12593998861193811,0.3868760211707298,0.33329650023502827,8,2.625,3.0,8,1.0,2.0
ndcg,numap,0.10343334834528845,0.09586313333822154,0.02326815611167032,0.01796243266758236,0.028514373405536402,0.06532305906609984,0.028805581881702225,0.011478989870717313,0.04683113433585231,0.028659977643619314,8,7.0,7.0,8,0.0,0.0
ndcg,ours,0.7968993844835426,0.7478108021020754,0.3209751878140304,0.16116577118708597,0.3919148725468671,0.3486548689158061,0.2280536089511471,0.1308434519413982,0.3907897434927441,0.3348150283649183,8,1.125,1.0,8,7.0,8.0
ndcg,ours_oracle_neighbors,0.7966432564588968,0.7477760216612591,0.32034123207990517,0.16042794500216484,0.391752489408962,0.34832043472592245,0.22607671698320905,0.1290274382267496,0.3900456918183836,0.3343308334029138,8,2.25,2.0,8,0.0,6.0
ndcg,paramrepulsor,0.6959457968088201,0.5856655936596308,0.15339477508489388,0.06827522033335623,0.21878366208592706,0.18483273196730218,0.1160477362807009,0.08392341663882685,0.2633586166074322,0.16911375352609803,8,5.0,5.0,8,0.0,0.0
ndcg,spectral_only,0.4380287566591548,0.4661156240175856,0.09539750439839842,0.020816242908539603,0.12400943741186428,0.08744594526261454,0.0910254670205074,0.02811642260007545,0.1688694250348425,0.09321148570945291,8,6.0,6.0,8,0.0,0.0
ndcg,standard_umap,0.7959176487458358,0.7370252216959087,0.2975585383800351,0.1314332844100377,0.37905511366370287,0.32253489094358606,0.20644796163146126,0.1171470562930321,0.3733899644704499,0.31004671466181055,8,4.0,4.0,8,0.0,0.0
reference_trustworthiness,no_repulsion,0.9922934113552215,0.9947148279021071,0.9858936718407683,0.8718986252988248,0.9849543690488123,0.9670598817279743,0.865072354805069,0.9545034600888267,0.9520488252584505,0.9760071253883933,8,2.0,2.0,4,4.0,4.0
reference_trustworthiness,numap,0.5157018465958864,0.5302509545687277,0.6106322501704087,0.6371127953960991,0.5713688884434198,0.6451448037152117,0.5570853939356888,0.606999636025209,0.5842870711063314,0.5891842622343144,8,9.0,9.0,4,0.0,0.0
reference_trustworthiness,ours,0.9922934113552215,0.9947148279021071,0.9858936718407683,0.8718986252988248,0.9849543690488123,0.9670598817279743,0.865072354805069,0.9545034600888267,0.9520488252584505,0.9760071253883933,8,2.0,2.0,4,4.0,4.0
reference_trustworthiness,ours_oracle_neighbors,0.9922934113552215,0.9947148279021071,0.9858936718407683,0.8718986252988248,0.9849543690488123,0.9670598817279743,0.865072354805069,0.9545034600888267,0.9520488252584505,0.9760071253883933,8,2.0,2.0,4,4.0,4.0
reference_trustworthiness,paramrepulsor,0.9866445332118622,0.9910977551849786,0.9814247395683969,0.8493667465938758,0.9769166429454412,0.9486656763890281,0.8591755517015901,0.9488414714891107,0.9427666396355354,0.962879057217276,8,6.25,7.0,4,0.0,0.0
reference_trustworthiness,reduced_repulsion_umap,NaN,NaN,NaN,NaN,0.983903425879523,0.960418568039825,0.8545979917193369,0.9512758790299839,0.9375489661671672,0.9558472235349045,4,5.25,5.0,4,0.0,0.0
reference_trustworthiness,spectral_only,0.8974504479250616,0.9139306557192615,0.9025599946663171,0.7372885581966455,0.9191215956700411,0.8018554461929104,0.6573492439899769,0.853797338598135,0.8354191601197936,0.8756238932615983,8,8.0,8.0,4,0.0,0.0
reference_trustworthiness,standard_umap,0.9917509957134681,0.9943961133038066,0.984596400758967,0.8588438988636953,0.983903425879523,0.960418568039825,0.8545979917193369,0.9512758790299839,0.9474729091635757,0.972160996959674,8,5.25,5.0,4,0.0,0.0
reference_trustworthiness,weighted_knn,NaN,NaN,NaN,NaN,0.983903425879523,0.960418568039825,0.8545979917193369,0.9512758790299839,0.9375489661671672,0.9558472235349045,4,5.25,5.0,4,0.0,0.0
label_knn_accuracy,no_repulsion,0.875,0.8861111111111111,0.9749946569779867,0.9608890788630049,0.7615,0.9415,0.4765013054830287,0.6745085401224621,0.8188755865696992,0.8805555555555555,8,3.0,3.0,4,0.0,1.0
