dataset,method,metric,scope,n_queries,mean,median,p90,p95,threshold_90,threshold_95,fraction_ge_90,fraction_ge_95
pancreas,ours_oracle_neighbors,periphery_percentile,full,4679,57.63293738408498,66.77115987460816,93.05555555555556,95.25260845689179,90.0,95.0,0.20367599914511647,0.05599487069886728
pancreas,ours_oracle_neighbors,repulsion_accumulation_score,full,4679,0.31695702928511515,0.2828964591026306,0.5879899024963379,0.6757229447364805,0.9,0.95,0.004701859371660611,0.002778371446890361
pancreas,no_repulsion,periphery_percentile,full,4679,57.189699843804796,65.8307210031348,92.54349627174814,94.85714285714286,90.0,95.0,0.2008976276982261,0.04680487283607609
pancreas,no_repulsion,repulsion_accumulation_score,full,4679,0.30773570103826886,0.27393966913223267,0.5642808318138122,0.6505232632160182,0.9,0.95,0.0036332549690104724,0.0014960461637101945
pancreas,repulsion_oracle_diagnostic,periphery_percentile,subset,50,55.73307636400636,62.94154997254256,90.93384074941451,95.23163888847182,90.0,95.0,0.14,0.06
pancreas,repulsion_oracle_diagnostic,repulsion_accumulation_score,subset,50,0.3439628712832928,0.26363182067871094,0.6467935621738434,0.7798757106065748,0.9,0.95,0.0,0.0
pancreas,spectral_only,periphery_percentile,full,4679,41.08307601986211,37.5,91.46644573322287,96.45784543325527,90.0,95.0,0.11027997435349433,0.06368882239794828
pancreas,spectral_only,repulsion_accumulation_score,full,4679,0.6310750745898891,0.661948025226593,0.9462733030319214,0.9820945620536803,0.9,0.95,0.14426159435776875,0.09596067535798247
pancreas,standard_umap,periphery_percentile,full,4679,71.76569026046835,84.92129246064623,97.99560680944536,99.14881933003844,90.0,95.0,0.4428296644582176,0.30433853387475956
pancreas,standard_umap,repulsion_accumulation_score,full,4679,0.39678642174977824,0.34812238812446594,0.7688680052757263,0.8708769619464872,0.9,0.95,0.04103440906176534,0.03184441119897414
pancreas_batch_corrected,ours,periphery_percentile,full,4679,53.21964041840486,55.24437122460186,93.00797230335134,96.45799011532125,90.0,95.0,0.13806368882239795,0.06774951912801881
pancreas_batch_corrected,ours,repulsion_accumulation_score,full,4679,0.34264095252959786,0.3339076638221741,0.5644604325294494,0.6246453046798705,0.9,0.95,0.0025646505663603335,0.0019234879247702502
pancreas_batch_corrected,ours_oracle_neighbors,periphery_percentile,full,4679,52.98424655884509,55.13888888888889,92.8061504667765,96.45799011532125,90.0,95.0,0.1331481085702073,0.06561231032271853
pancreas_batch_corrected,ours_oracle_neighbors,repulsion_accumulation_score,full,4679,0.33674969375987407,0.32781514525413513,0.5578309059143066,0.6166354596614837,0.9,0.95,0.002778371446890361,0.0019234879247702502
pancreas_batch_corrected,no_repulsion,periphery_percentile,full,4679,48.21038441634842,48.0,89.31368681774401,94.48105436573312,90.0,95.0,0.092327420388972,0.045095105791835864
pancreas_batch_corrected,no_repulsion,repulsion_accumulation_score,full,4679,0.2603470682242452,0.24539369344711304,0.44175899028778076,0.5055339336395264,0.9,0.95,0.0021372088053002777,0.0019234879247702502
pancreas_batch_corrected,repulsion_oracle_diagnostic,periphery_percentile,subset,50,59.7274687344216,63.18723177552545,97.94618341570566,99.22872340425532,90.0,95.0,0.2,0.14
pancreas_batch_corrected,repulsion_oracle_diagnostic,repulsion_accumulation_score,subset,50,0.36086605027318003,0.34141527116298676,0.6052715480327606,0.6568297803401947,0.9,0.95,0.0,0.0
pancreas_batch_corrected,spectral_only,periphery_percentile,full,4679,55.0728983709264,56.827586206896555,95.02899751449876,97.92874896437448,90.0,95.0,0.1609318230391109,0.10087625561017312
pancreas_batch_corrected,spectral_only,repulsion_accumulation_score,full,4679,0.7515472193386109,0.8007647395133972,0.9893516540527344,0.9945803701877594,0.9,0.95,0.3107501602906604,0.23509296858303055
pancreas_batch_corrected,standard_umap,periphery_percentile,full,4679,54.77851576434456,57.02910488742449,94.68085106382979,98.33272631833965,90.0,95.0,0.14126950203034835,0.09553323359692242
pancreas_batch_corrected,standard_umap,repulsion_accumulation_score,full,4679,0.5007762027145838,0.4947678744792938,0.8012319564819336,0.8741655886173244,0.9,0.95,0.03932464201752511,0.028638597991023723
fashion_mnist,ours,periphery_percentile,full,2000,50.14294305735766,50.148957298907646,89.85985647952722,95.35637149028078,90.0,95.0,0.0995,0.0525
fashion_mnist,ours,repulsion_accumulation_score,full,2000,0.25887272922787813,0.240296371281147,0.44890591502189653,0.5161889284849167,0.9,0.95,0.0,0.0
fashion_mnist,ours_oracle_neighbors,periphery_percentile,full,2000,50.18326821863947,50.12508593690322,90.04950235725511,95.36041604074568,90.0,95.0,0.1015,0.054
fashion_mnist,ours_oracle_neighbors,repulsion_accumulation_score,full,2000,0.2564651932802517,0.23751508444547653,0.4450903594493868,0.5162981510162353,0.9,0.95,0.0,0.0
fashion_mnist,no_repulsion,periphery_percentile,full,2000,49.829544740595956,49.771235692448954,89.84943813190597,95.27023403345123,90.0,95.0,0.0985,0.0535
fashion_mnist,no_repulsion,repulsion_accumulation_score,full,2000,0.2391348843695596,0.22021999955177307,0.41981757879257214,0.4721905559301376,0.9,0.95,0.0,0.0
fashion_mnist,repulsion_oracle_diagnostic,periphery_percentile,subset,50,49.57639844071098,46.836734693877546,85.73734622969292,91.94290733421165,90.0,95.0,0.06,0.06
fashion_mnist,repulsion_oracle_diagnostic,repulsion_accumulation_score,subset,50,0.27436209604144096,0.23695021122694016,0.5174116253852844,0.5966042101383209,0.9,0.95,0.0,0.0
fashion_mnist,spectral_only,periphery_percentile,full,2000,50.37183914160014,50.29745293030935,90.3883914529556,95.46784373754954,90.0,95.0,0.1065,0.0545
fashion_mnist,spectral_only,repulsion_accumulation_score,full,2000,0.5166291372790002,0.5044953227043152,0.8394447684288024,0.9132487058639526,0.9,0.95,0.061,0.0315
fashion_mnist,standard_umap,periphery_percentile,full,2000,50.60068930540452,50.587098043166435,90.41030965062744,95.3338563103631,90.0,95.0,0.105,0.0545
fashion_mnist,standard_umap,repulsion_accumulation_score,full,2000,0.2712824198639719,0.23330781608819962,0.5170393466949463,0.6202357977628707,0.9,0.95,0.001,0.0
mnist_oos,ours,periphery_percentile,full,2000,47.20132456719411,45.10314300237208,88.54306776171606,94.72935281455608,90.0,95.0,0.0835,0.0485
mnist_oos,ours,repulsion_accumulation_score,full,2000,0.2477006820535753,0.2281590849161148,0.4298093616962437,0.49918940365314474,0.9,0.95,0.0,0.0
mnist_oos,ours_oracle_neighbors,periphery_percentile,full,2000,47.27505709252649,45.11841890580588,88.80683550343963,94.97759264157042,90.0,95.0,0.0855,0.05
mnist_oos,ours_oracle_neighbors,repulsion_accumulation_score,full,2000,0.24607052399043458,0.22764137387275696,0.4224445849657059,0.49713481664657583,0.9,0.95,0.0,0.0
mnist_oos,no_repulsion,periphery_percentile,full,2000,46.31460769266868,44.09291885115816,87.99192734611503,94.36176477099151,90.0,95.0,0.0795,0.0465
mnist_oos,no_repulsion,repulsion_accumulation_score,full,2000,0.2302807092780713,0.20875930041074753,0.40188991129398344,0.4708036109805106,0.9,0.95,0.0,0.0
mnist_oos,repulsion_oracle_diagnostic,periphery_percentile,subset,50,45.85144355980149,39.98223133782796,86.43040494747544,89.60699672667758,90.0,95.0,0.04,0.04
mnist_oos,repulsion_oracle_diagnostic,repulsion_accumulation_score,subset,50,0.23628397688269615,0.20490530133247375,0.4367892771959305,0.5086060553789139,0.9,0.95,0.0,0.0
mnist_oos,spectral_only,periphery_percentile,full,2000,49.209360158523864,49.02856019132825,90.39975390243582,95.47279905199281,90.0,95.0,0.106,0.053
mnist_oos,spectral_only,repulsion_accumulation_score,full,2000,0.45712208993639797,0.44901353120803833,0.7608595252037048,0.8345613688230514,0.9,0.95,0.0205,0.0095
mnist_oos,standard_umap,periphery_percentile,full,2000,49.18477025104149,49.15263805971808,90.1659414283741,95.85934852592341,90.0,95.0,0.102,0.0565
mnist_oos,standard_umap,repulsion_accumulation_score,full,2000,0.27872947381972335,0.2505234628915787,0.5071350634098056,0.5888557136058806,0.9,0.95,0.001,0.0
organoid,ours,periphery_percentile,full,766,50.527455436651515,50.81399097356544,91.32108191730919,94.89645429706906,90.0,95.0,0.11357702349869452,0.048302872062663184
organoid,ours,repulsion_accumulation_score,full,766,0.32011041652980227,0.31132781505584717,0.5442239046096802,0.6000427901744843,0.9,0.95,0.0013054830287206266,0.0013054830287206266
organoid,ours_oracle_neighbors,periphery_percentile,full,766,49.8285798130961,48.77938787949252,91.16575591985429,94.89645429706906,90.0,95.0,0.11096605744125326,0.048302872062663184
organoid,ours_oracle_neighbors,repulsion_accumulation_score,full,766,0.31021592594067965,0.2973638027906418,0.5281341373920441,0.5946952551603317,0.9,0.95,0.0013054830287206266,0.0013054830287206266
organoid,no_repulsion,periphery_percentile,full,766,48.413758801672365,46.79245283018868,90.86974193994742,94.87101321433514,90.0,95.0,0.10835509138381201,0.048302872062663184
organoid,no_repulsion,repulsion_accumulation_score,full,766,0.2747577727777159,0.25807681679725647,0.4794396162033081,0.5351548194885254,0.9,0.95,0.0026109660574412533,0.0013054830287206266
organoid,repulsion_oracle_diagnostic,periphery_percentile,subset,50,52.459226358156755,55.904507402795076,88.816029143898,95.88184931506846,90.0,95.0,0.1,0.06
organoid,repulsion_oracle_diagnostic,repulsion_accumulation_score,subset,50,0.37350175991654394,0.35966071486473083,0.6173504352569581,0.8267294019460673,0.9,0.95,0.06,0.02
organoid,spectral_only,periphery_percentile,full,766,69.44471665255833,76.59879025329073,91.55294382177944,96.13152804642166,90.0,95.0,0.11357702349869452,0.05613577023498695
organoid,spectral_only,repulsion_accumulation_score,full,766,0.4872467171585591,0.4665902107954025,0.8091207146644592,0.8927740305662155,0.9,0.95,0.048302872062663184,0.033942558746736295
organoid,standard_umap,periphery_percentile,full,766,55.25281192778578,57.402649538338025,90.43715846994536,95.49180327868852,90.0,95.0,0.1031331592689295,0.057441253263707574
organoid,standard_umap,repulsion_accumulation_score,full,766,0.4073536714358686,0.385313481092453,0.6937733292579651,0.767259269952774,0.9,0.95,0.010443864229765013,0.005221932114882507
embryoid_body,ours,periphery_percentile,full,6206,50.54615038839524,50.44348283550958,90.28673227010519,95.22353840275125,90.0,95.0,0.102803738317757,0.05220754108926845
embryoid_body,ours,repulsion_accumulation_score,full,6206,0.29110513743096583,0.2748757153749466,0.4923969805240631,0.558098167181015,0.9,0.95,0.00048340315823396714,0.0003222687721559781
embryoid_body,ours_oracle_neighbors,periphery_percentile,full,6206,50.47061617914151,50.31715590209939,90.18436401998102,95.230879593678,90.0,95.0,0.10135352884305511,0.05204640670319046
embryoid_body,ours_oracle_neighbors,repulsion_accumulation_score,full,6206,0.2739970776656282,0.2590029686689377,0.4642295241355896,0.5306761562824249,0.9,0.95,0.00048340315823396714,0.0003222687721559781
embryoid_body,no_repulsion,periphery_percentile,full,6206,50.38218383753806,49.846861956495545,90.15150346219721,94.9751623996943,90.0,95.0,0.10103126007089913,0.04995165968417661
embryoid_body,no_repulsion,repulsion_accumulation_score,full,6206,0.26136971391144165,0.24306881427764893,0.45520421862602234,0.5178904235363007,0.9,0.95,0.00016113438607798906,0.00016113438607798906
embryoid_body,repulsion_oracle_diagnostic,periphery_percentile,subset,50,54.16663210200477,51.235679129229524,90.65801177820137,93.80334070630592,90.0,95.0,0.14,0.04
embryoid_body,repulsion_oracle_diagnostic,repulsion_accumulation_score,subset,50,0.3570607362687588,0.3345988392829895,0.6284114181995393,0.7296336859464644,0.9,0.95,0.02,0.0
embryoid_body,spectral_only,periphery_percentile,full,6206,50.91919337436892,50.682442347667575,90.82715802122972,95.135119348935,90.0,95.0,0.11005478569126652,0.05188527231711247
embryoid_body,spectral_only,repulsion_accumulation_score,full,6206,0.5461662324569229,0.5438858270645142,0.8730461597442627,0.9586800634860992,0.9,0.95,0.0823396712858524,0.056074766355140186
embryoid_body,standard_umap,periphery_percentile,full,6206,50.07504781356992,50.32716992172687,89.94740413980318,94.97892770168646,90.0,95.0,0.09974218498227522,0.04995165968417661
embryoid_body,standard_umap,repulsion_accumulation_score,full,6206,0.345447560367266,0.31199073791503906,0.636120080947876,0.7342671304941177,0.9,0.95,0.006928778601353529,0.0020947470190138574
