dataset,method,metric,scope,n_queries,mean,median,worst_5pct_mean,worst_1pct_mean,p5,p10,p90,p95,p99
mnist_oos,no_repulsion,local_displacement,full,2000,0.26128419093813504,0.2090627915794278,0.8209558890763466,1.0513197461874777,NaN,NaN,0.5299642096549995,0.6791130505492523,0.877622819774497
mnist_oos,repulsion_oracle_diagnostic,recall_at_15,subset,50,0.28,0.26666666666666666,0.022222222222222223,0.0,0.06666666666666667,0.06666666666666667,NaN,NaN,NaN
mnist_oos,repulsion_oracle_diagnostic,local_displacement,subset,50,0.24474376903687475,0.21239418162935425,0.6743103470788011,0.7004177717100408,NaN,NaN,0.46621842650480966,0.5899699895845162,0.6913652181787671
mnist_oos,spectral_only,recall_at_15,full,2000,0.05553333333333333,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
mnist_oos,spectral_only,local_displacement,full,2000,0.6626814258046527,0.5456946543016158,2.139332279204747,3.4116094305211933,NaN,NaN,1.2610765581964105,1.5303324504570488,2.4674490768517865
mnist_oos,standard_umap,recall_at_15,full,2000,0.23773333333333335,0.2,0.0,0.0,0.0,0.06666666666666667,NaN,NaN,NaN
mnist_oos,standard_umap,local_displacement,full,2000,0.38885594461057343,0.3467295427714977,1.0379367761786003,1.4377240961031617,NaN,NaN,0.6957846432649755,0.8177678142165815,1.1675519769245317
organoid,ours,recall_at_15,full,766,0.1630113141862489,0.13333333333333333,0.0,0.0,0.0,0.0,NaN,NaN,NaN
organoid,ours,local_displacement,full,766,0.41747073921158434,0.3795344694413586,1.1670060257219286,1.868005040180524,NaN,NaN,0.7410687315644455,0.8602359304704261,1.2316618422033385
organoid,ours_oracle_neighbors,recall_at_15,full,766,0.1641427328111401,0.13333333333333333,0.0,0.0,0.0,0.0,NaN,NaN,NaN
organoid,ours_oracle_neighbors,local_displacement,full,766,0.39690904052007686,0.3501203896931826,1.1144217069552316,1.8336625292196493,NaN,NaN,0.7088488497570669,0.8220788830307706,1.1259765423930383
organoid,no_repulsion,recall_at_15,full,766,0.15535248041775457,0.13333333333333333,0.0,0.0,0.0,0.0,NaN,NaN,NaN
organoid,no_repulsion,local_displacement,full,766,0.359095506970468,0.31151262728910534,1.132060904647794,2.002934556221107,NaN,NaN,0.6481445185309465,0.7826220817196926,1.1791752632928592
organoid,repulsion_oracle_diagnostic,recall_at_15,subset,50,0.15066666666666664,0.06666666666666667,0.0,0.0,0.0,0.0,NaN,NaN,NaN
organoid,repulsion_oracle_diagnostic,local_displacement,subset,50,0.5773125353852667,0.4110190892218528,2.903986956146874,5.008352932559449,NaN,NaN,0.9277130392651297,1.331532386504668,3.658829636703924
organoid,spectral_only,recall_at_15,full,766,0.0536118363794604,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
organoid,spectral_only,local_displacement,full,766,0.8009123873925263,0.6336223680420994,3.248977546890671,6.222055037668011,NaN,NaN,1.4894056618571483,1.9049998876465872,3.2587120314736766
organoid,standard_umap,recall_at_15,full,766,0.14604003481288075,0.13333333333333333,0.0,0.0,0.0,0.0,NaN,NaN,NaN
organoid,standard_umap,local_displacement,full,766,0.5720026395499394,0.527259082383347,1.5345003603456067,2.7161384476602857,NaN,NaN,0.9117215974174913,1.0718976594151504,1.563107580976517
embryoid_body,ours,recall_at_15,full,6206,0.09058975185304545,0.06666666666666667,0.0,0.0,0.0,0.0,NaN,NaN,NaN
embryoid_body,ours,local_displacement,full,6206,0.3502894403521624,0.31088203172892015,0.9273293477743227,1.2274139735653784,NaN,NaN,0.6319891214209176,0.7512162603982802,1.0121579909595433
embryoid_body,ours_oracle_neighbors,recall_at_15,full,6206,0.08956923407455149,0.06666666666666667,0.0,0.0,0.0,0.0,NaN,NaN,NaN
embryoid_body,ours_oracle_neighbors,local_displacement,full,6206,0.31519003892617337,0.2776950172958491,0.8536023312090055,1.1402948956088614,NaN,NaN,0.5756407445378047,0.6903706507786688,0.9169410242183567
embryoid_body,no_repulsion,recall_at_15,full,6206,0.0867332688795789,0.06666666666666667,0.0,0.0,0.0,0.0,NaN,NaN,NaN
embryoid_body,no_repulsion,local_displacement,full,6206,0.31223335274951836,0.26869569326635556,0.8707877896585532,1.1145918673271773,NaN,NaN,0.5913440129710833,0.7137800379832459,0.9534037198413043
embryoid_body,repulsion_oracle_diagnostic,recall_at_15,subset,50,0.09733333333333334,0.06666666666666667,0.0,0.0,0.0,0.0,NaN,NaN,NaN
embryoid_body,repulsion_oracle_diagnostic,local_displacement,subset,50,0.42482807940588996,0.410405693517353,1.1873199080356496,1.6301024439332656,NaN,NaN,0.6905408569020807,0.8970831780845658,1.3133934223416017
embryoid_body,spectral_only,recall_at_15,full,6206,0.01601675797615211,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
embryoid_body,spectral_only,local_displacement,full,6206,0.9439218378282321,0.7790758233990529,2.8686443065429303,3.78007485414197,NaN,NaN,1.836594515525888,2.280383971465357,3.2268918419161623
embryoid_body,standard_umap,recall_at_15,full,6206,0.07737673219465034,0.06666666666666667,0.0,0.0,0.0,0.0,NaN,NaN,NaN
embryoid_body,standard_umap,local_displacement,full,6206,0.4959845338716492,0.44050219046996997,1.362129345436224,1.9330706393117008,NaN,NaN,0.869156259455885,1.032395782881562,1.5110383866938404
coil20,numap,recall_at_15,full,360,0.09518518518518518,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
coil20,paramrepulsor,recall_at_15,full,360,0.6016666666666667,0.6666666666666666,0.0,0.0,0.0,0.0,NaN,NaN,NaN
coil100,numap,recall_at_15,full,1800,0.0685925925925926,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
coil100,paramrepulsor,recall_at_15,full,1800,0.44370370370370377,0.4666666666666667,0.0,0.0,0.0,0.0,NaN,NaN,NaN
pancreas,numap,recall_at_15,full,4679,0.01337892712117974,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
pancreas,paramrepulsor,recall_at_15,full,4679,0.0937949704352782,0.06666666666666667,0.0,0.0,0.0,0.0,NaN,NaN,NaN
pancreas_batch_corrected,numap,recall_at_15,full,4679,0.010059129443613308,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
pancreas_batch_corrected,paramrepulsor,recall_at_15,full,4679,0.040820688181235305,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
fashion_mnist,numap,recall_at_15,full,2000,0.017900000000000003,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
fashion_mnist,paramrepulsor,recall_at_15,full,2000,0.1385,0.13333333333333333,0.0,0.0,0.0,0.0,NaN,NaN,NaN
mnist_oos,numap,recall_at_15,full,2000,0.04156666666666666,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
mnist_oos,paramrepulsor,recall_at_15,full,2000,0.1176,0.06666666666666667,0.0,0.0,0.0,0.0,NaN,NaN,NaN
organoid,numap,recall_at_15,full,766,0.01845082680591819,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
organoid,paramrepulsor,recall_at_15,full,766,0.06762402088772847,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
embryoid_body,numap,recall_at_15,full,6206,0.006542056074766355,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
embryoid_body,paramrepulsor,recall_at_15,full,6206,0.04858738854871629,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
