dataset,baseline,metric,scope,family,ours_source,baseline_source,status,n_pairs,n_dropped,ours_mean,baseline_mean,mean_improvement,median_improvement,ci_low,ci_high,fraction_ours_better,fraction_tied,p_value,test,n_bootstrap,n_permutations,seed,direction,p_holm
coil100,no_repulsion,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,ok,1800,0,0.30782662937016336,0.3035169247215519,-0.0043097046486114815,-0.0020461135924113305,-0.006702930695289862,-0.0018513408173174623,0.45166666666666666,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,9019627202872872137,lower,0.003999600039996
coil100,repulsion_oracle_diagnostic,recall_at_15,subset,exploratory_recall_at_15,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,ok,50,0,0.6573333333333332,0.6653333333333332,-0.008000000000000002,0.0,-0.017333333333333346,0.002666666666666664,0.06,0.74,0.213134765625,exact_sign_flip,10000,8192,8030051974554695915,higher,1.0
coil100,repulsion_oracle_diagnostic,ndcg,subset,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,ok,50,0,0.742893591801085,0.7451656939476061,-0.0022721021465211487,0.0,-0.006568224732995695,0.002061071694445624,0.26,0.32,0.3274672532746725,monte_carlo_sign_flip_plus_one,10000,10000,16168063868783371407,higher,1.0
coil100,repulsion_oracle_diagnostic,local_displacement,subset,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,ok,50,0,0.3903725566379868,0.3944817459127644,0.004109189274777645,0.012822553829933851,-0.14132007008449674,0.106341378152037,0.6,0.0,0.9716028397160283,monte_carlo_sign_flip_plus_one,10000,10000,969769287693907060,lower,1.0
coil100,spectral_only,recall_at_15,full,exploratory_recall_at_15,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,ok,1800,0,0.6938148148148148,0.38662962962962966,0.3071851851851852,0.3333333333333333,0.29644351851851847,0.318,0.885,0.042222222222222223,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,14384956796395151454,higher,0.0047995200479952005
coil100,spectral_only,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,ok,1800,0,0.7478108021020754,0.4661156240175856,0.28169517808448996,0.26885748119586217,0.27166938650935213,0.29136441966860216,0.9311111111111111,0.0011111111111111111,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,10213861216012604247,higher,0.005599440055994401
coil100,spectral_only,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,ok,1800,0,0.30782662937016336,0.4744313535740143,0.1666047242038509,0.14847333546157737,0.14217718516586927,0.19158838543324108,0.7105555555555556,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,801425885933742719,lower,0.003999600039996
coil100,standard_umap,recall_at_15,full,primary_recall15_ours_vs_standard,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,ok,1800,0,0.6938148148148148,0.676888888888889,0.016925925925925924,0.0,0.009259259259259259,0.024704629629629615,0.37277777777777776,0.31166666666666665,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,18223311059458985277,higher,0.0007999200079992001
coil100,standard_umap,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,ok,1800,0,0.7478108021020754,0.7370252216959087,0.010785580406166805,0.0004603055613355278,0.005115212983609661,0.01658055545157938,0.5161111111111111,0.04611111111111111,0.00039996000399960006,monte_carlo_sign_flip_plus_one,10000,10000,9958298871495876052,higher,0.008399160083991601
coil100,standard_umap,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,ok,1800,0,0.30782662937016336,2.2136486105074002,1.9058219811372374,0.11563833909823197,0.861870004493379,3.274675695691969,0.695,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,16733707988240065919,lower,0.003999600039996
