query_index,recall_at_k,candidate_recall_at_m,fuzzy_weighted_recall,ndcg_at_k,latency_seconds,embedding_recall_ours_full,true_label
839,0.9333333333333333,0.9333333333333333,0.9938348136366858,0.9973649050337472,0.0006950153037905693,0.0,alpha
840,0.8666666666666667,0.8666666666666667,0.9465761566929962,0.9759091878391076,0.0006730472669005394,0.0,alpha
841,0.9333333333333333,0.9333333333333333,0.9655325084895318,0.9838315096818039,0.0006816461682319641,0.06666666666666667,alpha
842,0.9333333333333333,0.9333333333333333,0.9768935977883842,0.9898745508506589,0.0006572026759386063,0.13333333333333333,alpha
843,1.0,1.0,1.0,1.0,0.0006770612671971321,0.0,alpha
844,0.8666666666666667,0.8666666666666667,0.9742667790387796,0.9888698457382923,0.0006804671138525009,0.0,alpha
845,1.0,1.0,1.0,1.0,0.0006755590438842773,0.0,alpha
846,1.0,1.0,1.0,1.0,0.0006719417870044708,0.0,alpha
847,0.8666666666666667,0.8666666666666667,0.9098004131111027,0.9562696009630997,0.0006724363192915916,0.06666666666666667,alpha
848,0.8,0.8,0.8962656666353367,0.9505228265639392,0.0006584357470273972,0.13333333333333333,alpha
849,1.0,1.0,1.0,1.0,0.0006919298321008682,0.0,alpha
850,1.0,1.0,1.0,1.0,0.0006772289052605629,0.0,alpha
851,0.8,0.8,0.8707302228502483,0.9372075630701375,0.0006513036787509918,0.26666666666666666,alpha
852,0.8,0.8,0.9407810310258833,0.9733468790836058,0.0006874287500977516,0.0,alpha
853,0.8666666666666667,0.8666666666666667,0.9568183471191289,0.9808332150292197,0.000655624084174633,0.13333333333333333,alpha
854,1.0,1.0,1.0,1.0,0.0007022768259048462,0.06666666666666667,alpha
855,0.8666666666666667,0.8666666666666667,0.9253730168322843,0.9646025568979013,0.0006672749295830727,0.0,alpha
856,1.0,1.0,1.0,1.0,0.000657462514936924,0.0,alpha
857,0.9333333333333333,0.9333333333333333,0.9705950278738686,0.9867491195521284,0.0006780307739973068,0.0,alpha
858,0.8,0.8,0.8955708617825759,0.9506486440231524,0.0006757574155926704,0.06666666666666667,alpha
859,0.8,0.8,0.824458452503142,0.8850896504802015,0.0006985794752836227,0.0,alpha
860,1.0,1.0,1.0,1.0,0.0006617549806833267,0.0,alpha
861,0.8666666666666667,0.8666666666666667,0.9173319990883444,0.9609885097094957,0.0006850706413388252,0.2,alpha
862,0.9333333333333333,0.9333333333333333,0.9685798741155582,0.9861938372150519,0.0007026121020317078,0.13333333333333333,alpha
863,1.0,1.0,1.0,1.0,0.0006787925958633423,0.3333333333333333,alpha
864,1.0,1.0,1.0,1.0,0.0006624404340982437,0.0,alpha
865,1.0,1.0,1.0,1.0,0.0006733713671565056,0.0,alpha
866,1.0,1.0,1.0,1.0,0.0006790198385715485,0.13333333333333333,alpha
867,0.4666666666666667,0.4666666666666667,0.6751269996022792,0.8365435490369225,0.0006590057164430618,0.0,alpha
868,0.8666666666666667,0.8666666666666667,0.9191545238937772,0.961865316670595,0.0006959512829780579,0.0,alpha
869,0.9333333333333333,0.9333333333333333,0.9600715596870895,0.9811442012656948,0.0006824154406785965,0.0,alpha
870,0.8,0.8,0.9818234734045552,0.992386066653373,0.0006498377770185471,0.13333333333333333,alpha
871,0.9333333333333333,0.9333333333333333,0.9894201990959782,0.9955127385893495,0.0006837407127022743,0.13333333333333333,alpha
872,0.8666666666666667,0.8666666666666667,0.953492968128683,0.9791853854802413,0.0006690742447972298,0.06666666666666667,alpha
873,1.0,1.0,1.0,1.0,0.0006532212719321251,0.13333333333333333,alpha
874,0.8666666666666667,0.8666666666666667,0.9402458045695635,0.9722191959194233,0.0006634760648012161,0.0,alpha
875,0.8666666666666667,0.8666666666666667,0.9332716541238639,0.9689817173030076,0.0006655771285295486,0.13333333333333333,alpha
876,0.6666666666666666,0.6666666666666666,0.7633312898452944,0.8664971182527096,0.0006848685443401337,0.0,alpha
877,0.8666666666666667,0.8666666666666667,0.9172734795952785,0.9598717697841824,0.0006625102832913399,0.0,alpha
878,1.0,1.0,1.0,1.0,0.0006524911150336266,0.06666666666666667,alpha
879,0.8666666666666667,0.8666666666666667,0.9370614134475265,0.9722850174713331,0.0006948448717594147,0.13333333333333333,alpha
880,0.9333333333333333,0.9333333333333333,0.9813924209573185,0.9916373721028358,0.0006745569407939911,0.26666666666666666,alpha
881,1.0,1.0,1.0,1.0,0.000650276429951191,0.0,alpha
882,0.8666666666666667,0.8666666666666667,0.9059357759728932,0.9486847259234276,0.0006760880351066589,0.0,alpha
883,0.9333333333333333,0.9333333333333333,0.9826475351323554,0.992709427881834,0.0007012663409113884,0.0,alpha
884,1.0,1.0,1.0,1.0,0.0006587691605091095,0.0,alpha
