method,query_index,label,recall_at_5,recall_at_10,recall_at_15,recall_at_30,ndcg
ours_full,159,gamma,0.0,0.1,0.26666666666666666,0.23333333333333334,0.20081880233110383
ours_full,160,gamma,0.0,0.0,0.06666666666666667,0.1,0.07699986789762199
ours_full,161,gamma,0.0,0.0,0.13333333333333333,0.3,0.255340143466556
ours_full,162,gamma,0.0,0.1,0.06666666666666667,0.23333333333333334,0.2726492220020803
ours_full,163,gamma,0.0,0.1,0.2,0.13333333333333333,0.11668600865294583
ours_full,164,gamma,0.2,0.2,0.2,0.3,0.37399613459651376
ours_full,165,gamma,0.2,0.2,0.2,0.26666666666666666,0.38219896973783235
ours_full,166,gamma,0.2,0.2,0.13333333333333333,0.2,0.20386766057129768
ours_full,167,gamma,0.4,0.3,0.4666666666666667,0.43333333333333335,0.5235931215478935
ours_full,168,gamma,0.0,0.2,0.2,0.1,0.18441582437848164
ours_full,169,gamma,0.0,0.0,0.13333333333333333,0.13333333333333333,0.11308849104268875
ours_full,170,gamma,0.0,0.1,0.13333333333333333,0.2,0.1807004124191077
ours_full,171,gamma,0.2,0.1,0.13333333333333333,0.23333333333333334,0.1988392791955915
ours_full,172,gamma,0.0,0.2,0.13333333333333333,0.13333333333333333,0.12952130631344816
ours_full,173,gamma,0.0,0.0,0.13333333333333333,0.26666666666666666,0.21367162997691758
ours_full,174,gamma,0.0,0.0,0.0,0.2,0.18691607800441365
ours_full,175,gamma,0.2,0.1,0.06666666666666667,0.1,0.10613023957050599
ours_full,176,gamma,0.0,0.1,0.06666666666666667,0.16666666666666666,0.2186989805710446
ours_full,177,gamma,0.0,0.1,0.06666666666666667,0.16666666666666666,0.14185792047119564
ours_full,178,gamma,0.4,0.3,0.26666666666666666,0.26666666666666666,0.3188041237005363
ours_full,179,gamma,0.2,0.1,0.13333333333333333,0.16666666666666666,0.15685298802034908
ours_full,180,gamma,0.0,0.0,0.06666666666666667,0.2,0.20535043851219603
ours_full,181,gamma,0.0,0.0,0.06666666666666667,0.3,0.2756804039213
ours_full,182,gamma,0.2,0.3,0.26666666666666666,0.23333333333333334,0.3396023332575
ours_full,183,gamma,0.0,0.2,0.2,0.26666666666666666,0.25432363824516785
ours_full,184,gamma,0.0,0.2,0.13333333333333333,0.2,0.1875693861012843
ours_full,185,gamma,0.0,0.2,0.2,0.26666666666666666,0.25612053012131664
ours_full,186,gamma,0.0,0.1,0.2,0.23333333333333334,0.18869059831615537
ours_full,187,gamma,0.0,0.0,0.0,0.16666666666666666,0.21483945855216136
ours_full,188,gamma,0.0,0.0,0.06666666666666667,0.16666666666666666,0.1642957119961516
ours_full,189,gamma,0.0,0.1,0.06666666666666667,0.03333333333333333,0.03888053661057258
ours_full,190,gamma,0.2,0.2,0.26666666666666666,0.26666666666666666,0.3581493894552396
ours_full,191,gamma,0.2,0.1,0.13333333333333333,0.16666666666666666,0.22775657251858364
ours_full,192,gamma,0.0,0.0,0.06666666666666667,0.26666666666666666,0.20623844859810114
ours_full,193,gamma,0.4,0.2,0.3333333333333333,0.2,0.3137010315028734
ours_full,194,gamma,0.2,0.2,0.2,0.13333333333333333,0.16508429014784157
ours_full,195,gamma,0.0,0.1,0.13333333333333333,0.26666666666666666,0.2565331349797417
ours_full,196,gamma,0.0,0.0,0.0,0.03333333333333333,0.042225550968526857
ours_full,197,gamma,0.2,0.2,0.2,0.13333333333333333,0.16010618056541426
ours_full,198,gamma,0.0,0.0,0.13333333333333333,0.13333333333333333,0.1612751801199405
ours_full,199,gamma,0.0,0.0,0.0,0.03333333333333333,0.025255271126572616
ours_full,200,gamma,0.0,0.0,0.0,0.13333333333333333,0.10327600459713382
ours_full,201,gamma,0.0,0.1,0.13333333333333333,0.2,0.2401555163284906
ours_full,202,gamma,0.0,0.1,0.06666666666666667,0.06666666666666667,0.0731848598598217
ours_full,203,gamma,0.0,0.0,0.06666666666666667,0.13333333333333333,0.1861711455247483
ours_full,204,gamma,0.2,0.2,0.2,0.26666666666666666,0.3642805717439338
ours_full,205,gamma,0.0,0.1,0.13333333333333333,0.16666666666666666,0.22133306845276685
ours_full,206,gamma,0.0,0.1,0.2,0.13333333333333333,0.14717465905637075
ours_full,207,gamma,0.2,0.1,0.2,0.2,0.2746894462507263
ours_full,208,gamma,0.0,0.0,0.0,0.13333333333333333,0.11127452899059903
ours_full,209,gamma,0.0,0.1,0.06666666666666667,0.2,0.17834807074006634
ours_full,210,gamma,0.0,0.2,0.13333333333333333,0.2,0.1787009749476393
ours_full,211,gamma,0.2,0.1,0.06666666666666667,0.16666666666666666,0.17628176513121332
ours_full,212,gamma,0.0,0.0,0.06666666666666667,0.1,0.10320255215045143
ours_full,213,gamma,0.0,0.2,0.26666666666666666,0.2,0.22802590779026197
ours_full,214,gamma,0.2,0.1,0.13333333333333333,0.13333333333333333,0.12907497324969364
ours_full,215,gamma,0.2,0.1,0.13333333333333333,0.16666666666666666,0.23140635103762863
ours_full,216,gamma,0.0,0.0,0.06666666666666667,0.23333333333333334,0.19254427722602993
ours_full,217,gamma,0.0,0.1,0.2,0.23333333333333334,0.2618716431869242
ours_full,218,gamma,0.0,0.1,0.2,0.16666666666666666,0.26486807028954396
ours_full,219,gamma,0.0,0.1,0.13333333333333333,0.3333333333333333,0.30938141525991736
ours_full,220,gamma,0.2,0.1,0.13333333333333333,0.16666666666666666,0.1560279821035709
ours_full,221,gamma,0.0,0.0,0.13333333333333333,0.13333333333333333,0.11380154659892998
ours_full,222,gamma,0.0,0.0,0.06666666666666667,0.16666666666666666,0.2348183817745459
ours_full,223,gamma,0.2,0.3,0.2,0.36666666666666664,0.3403921541719204
ours_full,224,gamma,0.0,0.1,0.06666666666666667,0.06666666666666667,0.05532634878297887
ours_full,225,gamma,0.2,0.2,0.3333333333333333,0.23333333333333334,0.3214526295331286
ours_full,226,gamma,0.0,0.0,0.2,0.3,0.3882210200506554
ours_full,227,gamma,0.0,0.1,0.2,0.16666666666666666,0.1745465927706466
ours_full,228,gamma,0.0,0.1,0.06666666666666667,0.13333333333333333,0.12332892682278201
ours_full,229,gamma,0.2,0.3,0.2,0.23333333333333334,0.23887197145028813
ours_full,230,gamma,0.0,0.0,0.06666666666666667,0.16666666666666666,0.18342265644076766
ours_full,231,gamma,0.2,0.1,0.2,0.26666666666666666,0.24877227822414585
ours_full,232,gamma,0.0,0.2,0.2,0.2,0.17346460380037557
ours_full,233,gamma,0.4,0.2,0.13333333333333333,0.23333333333333334,0.2441034864109059
ours_full,234,gamma,0.0,0.2,0.2,0.36666666666666664,0.3390489931029578
ours_full,235,gamma,0.4,0.2,0.2,0.36666666666666664,0.3391005407653228
ours_full,236,gamma,0.0,0.1,0.06666666666666667,0.13333333333333333,0.11063905014067865
ours_full,237,gamma,0.4,0.2,0.26666666666666666,0.43333333333333335,0.48597453107583355
ours_full,238,gamma,0.0,0.1,0.13333333333333333,0.16666666666666666,0.18320213111247685
ours_full,239,gamma,0.0,0.2,0.2,0.26666666666666666,0.24851845622746346
ours_full,240,gamma,0.0,0.0,0.06666666666666667,0.16666666666666666,0.1336664619913405
ours_full,241,gamma,0.0,0.1,0.13333333333333333,0.23333333333333334,0.3420887233013285
ours_full,242,gamma,0.0,0.0,0.06666666666666667,0.16666666666666666,0.11930823520809834
ours_full,243,gamma,0.0,0.1,0.06666666666666667,0.13333333333333333,0.10277645826223585
ours_full,244,gamma,0.0,0.1,0.13333333333333333,0.3333333333333333,0.2775802589279466
ours_full,245,gamma,0.0,0.1,0.06666666666666667,0.26666666666666666,0.24449703757187705
ours_full,246,gamma,0.0,0.2,0.13333333333333333,0.06666666666666667,0.0750834162528243
