query_index,celltype,tech,x,y,recall_at_5,recall_at_15
246,gamma,smartseq2,11.07978,19.99778,0.0,0.0666666666666666
247,gamma,smartseq2,10.693699,19.845104,0.0,0.0666666666666666
248,gamma,smartseq2,10.590855,19.896112,0.0,0.0666666666666666
249,gamma,smartseq2,10.726421,19.804766,0.0,0.0
250,gamma,smartseq2,10.781984,19.85595,0.0,0.1333333333333333
251,gamma,smartseq2,10.596707,19.683283,0.0,0.0666666666666666
252,gamma,smartseq2,10.605065,20.018873,0.0,0.0
253,gamma,smartseq2,10.750767,19.97005,0.0,0.2
254,gamma,smartseq2,10.789146,19.829857,0.0,0.2
255,gamma,smartseq2,6.2772107,14.28802,0.0,0.0
256,gamma,smartseq2,10.80348,19.613165,0.0,0.0
257,gamma,smartseq2,10.656249,20.107649,0.0,0.0666666666666666
258,gamma,smartseq2,10.924989,19.797388,0.0,0.1333333333333333
259,gamma,smartseq2,10.494984,19.82622,0.0,0.0666666666666666
260,gamma,smartseq2,10.971704,19.872326,0.0,0.1333333333333333
261,gamma,smartseq2,11.043413,20.009413,0.0,0.0
262,gamma,smartseq2,10.612673,19.555147,0.0,0.1333333333333333
263,gamma,smartseq2,10.738389,19.977888,0.0,0.2666666666666666
264,gamma,smartseq2,10.981399,19.802353,0.0,0.2
265,gamma,smartseq2,10.604457,19.846748,0.0,0.0666666666666666
266,gamma,smartseq2,10.533665,19.869297,0.0,0.2
267,gamma,smartseq2,10.371013,19.685328,0.2,0.1333333333333333
268,gamma,smartseq2,15.020788,6.6230574,0.0,0.0
269,gamma,smartseq2,10.422339,19.895262,0.0,0.2666666666666666
270,gamma,smartseq2,10.561448,19.785318,0.0,0.1333333333333333
271,gamma,smartseq2,10.463312,19.925043,0.0,0.0
272,gamma,smartseq2,10.655587,19.948294,0.0,0.1333333333333333
273,gamma,smartseq2,10.521318,19.845991,0.0,0.0666666666666666
274,gamma,smartseq2,10.71643,20.072649,0.0,0.2666666666666666
275,gamma,smartseq2,10.91761,19.949217,0.0,0.0
276,gamma,smartseq2,10.917464,19.96677,0.0,0.2
277,gamma,smartseq2,10.651729,19.745287,0.0,0.0
278,gamma,smartseq2,10.966031,19.932917,0.0,0.0
279,gamma,smartseq2,10.791163,20.042767,0.0,0.0666666666666666
280,gamma,smartseq2,10.714076,19.943846,0.2,0.2
281,gamma,smartseq2,10.921651,19.987638,0.0,0.0666666666666666
282,gamma,smartseq2,10.542274,19.611715,0.0,0.2
283,gamma,smartseq2,10.959708,19.935867,0.0,0.0666666666666666
284,gamma,smartseq2,10.814849,19.68867,0.0,0.0666666666666666
285,gamma,smartseq2,10.886483,20.028616,0.0,0.1333333333333333
286,gamma,smartseq2,10.662345,19.998558,0.0,0.1333333333333333
287,gamma,smartseq2,11.12285,19.769579,0.2,0.2666666666666666
288,gamma,smartseq2,10.692656,19.99617,0.0,0.0666666666666666
289,gamma,smartseq2,10.782163,19.986963,0.2,0.1333333333333333
290,gamma,smartseq2,10.700478,19.935728,0.0,0.0666666666666666
291,gamma,smartseq2,10.951639,19.982416,0.0,0.0
292,gamma,smartseq2,16.535294,16.773998,0.0,0.0
293,gamma,smartseq2,10.836049,19.946682,0.2,0.2
294,gamma,smartseq2,10.76188,19.973537,0.0,0.2
295,gamma,smartseq2,10.9492655,19.989729,0.0,0.1333333333333333
296,gamma,smartseq2,10.718034,19.530754,0.0,0.0666666666666666
297,gamma,smartseq2,10.725846,19.926514,0.0,0.0666666666666666
298,gamma,smartseq2,10.755567,19.814503,0.0,0.1333333333333333
299,gamma,smartseq2,10.935593,19.918432,0.0,0.0666666666666666
300,gamma,smartseq2,10.608039,20.020159,0.0,0.0
301,gamma,smartseq2,11.0811825,19.891016,0.0,0.0666666666666666
302,gamma,smartseq2,10.476373,19.872843,0.0,0.2
303,gamma,smartseq2,10.663546,20.01184,0.0,0.0666666666666666
304,gamma,smartseq2,10.870628,19.813326,0.0,0.0666666666666666
305,gamma,smartseq2,10.786905,19.7726,0.0,0.0666666666666666
306,gamma,smartseq2,10.962169,19.767042,0.2,0.1333333333333333
307,gamma,smartseq2,10.9198885,20.041225,0.0,0.0
308,gamma,smartseq2,10.812567,19.885252,0.2,0.0666666666666666
309,gamma,smartseq2,10.532803,19.778782,0.2,0.2
310,gamma,smartseq2,10.688145,20.025984,0.0,0.0
311,gamma,smartseq2,10.671164,19.884766,0.0,0.1333333333333333
312,gamma,smartseq2,15.400072,6.721898,0.0,0.0
313,gamma,smartseq2,10.996142,19.9047,0.0,0.1333333333333333
314,gamma,smartseq2,10.572135,19.795216,0.0,0.1333333333333333
315,gamma,smartseq2,11.026351,20.121902,0.0,0.0666666666666666
316,gamma,smartseq2,10.967554,19.953564,0.0,0.0666666666666666
317,gamma,smartseq2,10.688815,19.962685,0.0,0.0
318,gamma,smartseq2,10.599763,19.849262,0.0,0.0
319,gamma,smartseq2,10.651041,19.910858,0.0,0.0
320,gamma,smartseq2,10.434114,19.810759,0.0,0.0666666666666666
321,gamma,smartseq2,10.659392,19.921324,0.0,0.0666666666666666
322,gamma,smartseq2,10.861348,19.894537,0.0,0.0
323,acinar,celseq2,6.443635,0.42634943,0.0,0.0666666666666666
324,acinar,celseq2,6.7781377,0.7173287,0.0,0.0
325,acinar,celseq2,6.5382495,0.03705349,0.0,0.1333333333333333
326,acinar,celseq2,6.8214064,0.19969314,0.0,0.2
327,acinar,celseq2,6.687635,0.3817626,0.0,0.0666666666666666
328,acinar,celseq2,7.0730224,0.31332725,0.0,0.2
329,acinar,celseq2,6.6302238,0.4046844,0.0,0.0
330,acinar,celseq2,6.9714284,0.10950593,0.0,0.0
331,acinar,celseq2,5.509533,1.1449335,0.0,0.0
332,acinar,celseq2,6.6625705,0.35503814,0.0,0.2666666666666666
333,acinar,celseq2,6.2886014,0.9310603,0.0,0.0
334,acinar,celseq2,5.595222,0.2982886,0.0,0.0
335,acinar,celseq2,5.3753,1.1969236,0.2,0.3333333333333333
336,acinar,celseq2,5.571718,0.80647457,0.0,0.0
337,acinar,celseq2,6.4486384,0.39437243,0.0,0.0
338,acinar,celseq2,6.5499682,0.049482066,0.4,0.2666666666666666
339,acinar,celseq2,6.871608,0.2818863,0.0,0.0666666666666666
340,acinar,celseq2,6.114899,0.7631687,0.0,0.0
341,acinar,celseq2,6.675743,0.2159228,0.0,0.0666666666666666
342,acinar,celseq2,7.059652,0.6807349,0.0,0.3333333333333333
343,acinar,celseq2,6.5735683,-0.09730633,0.0,0.3333333333333333
344,acinar,celseq2,6.605909,0.8249992,0.0,0.1333333333333333
345,acinar,celseq2,6.928001,0.5259353,0.0,0.0
346,acinar,celseq2,5.339744,0.5879586,0.0,0.0
347,acinar,celseq2,6.9068036,0.3416094,0.0,0.0
348,acinar,celseq2,6.2378316,0.51705253,0.0,0.0
349,acinar,celseq2,6.7876654,0.48391226,0.0,0.0666666666666666
350,acinar,celseq2,6.789686,0.41134474,0.0,0.0666666666666666
351,acinar,celseq2,5.555597,1.2856878,0.4,0.2666666666666666
352,acinar,celseq2,6.9012513,0.6925717,0.0,0.2
353,acinar,celseq2,16.594568,7.9221516,0.0,0.0
354,acinar,celseq2,6.8971524,0.41521668,0.4,0.2
355,acinar,celseq2,6.9940386,0.615358,0.0,0.0666666666666666
356,acinar,celseq2,6.7034006,0.4572904,0.0,0.1333333333333333
357,acinar,celseq2,6.896048,0.5990348,0.0,0.1333333333333333
358,acinar,celseq2,5.198021,1.0134516,0.0,0.1333333333333333
359,acinar,celseq2,6.3336444,0.8269084,0.0,0.0
360,acinar,celseq2,6.1581154,1.2630559,0.4,0.2666666666666666
361,acinar,celseq2,6.5294,0.5002515,0.2,0.0666666666666666
362,acinar,celseq2,7.2786613,0.2210102,0.0,0.0
363,acinar,celseq2,6.423241,0.1534511,0.0,0.0666666666666666
364,acinar,celseq2,7.1277037,0.28395942,0.0,0.4
365,acinar,celseq2,6.9382524,0.6792952,0.2,0.1333333333333333
366,acinar,celseq2,6.7576985,0.37885106,0.2,0.3333333333333333
367,acinar,celseq2,6.4594927,0.6145131,0.0,0.0666666666666666
368,acinar,celseq2,7.0324416,0.37172338,0.2,0.2666666666666666
369,acinar,celseq2,6.717627,0.20494981,0.2,0.2666666666666666
370,acinar,celseq2,6.497356,0.15224415,0.0,0.0666666666666666
371,acinar,celseq2,5.3979197,1.3226002,0.0,0.2
372,acinar,celseq2,7.0378547,0.6765426,0.0,0.3333333333333333
373,acinar,celseq2,6.2119484,0.43995184,0.0,0.0666666666666666
374,acinar,celseq2,5.6162086,1.2164761,0.0,0.4
375,acinar,celseq2,6.694596,0.46843544,0.0,0.0
376,acinar,celseq2,6.752394,0.37813938,0.0,0.2666666666666666
377,acinar,celseq2,6.764674,0.7499569,0.0,0.0
378,acinar,celseq2,6.329695,0.6152161,0.0,0.0666666666666666
379,acinar,celseq2,5.822656,1.1655682,0.0,0.0666666666666666
380,acinar,celseq2,15.980833,6.187769,0.4,0.3333333333333333
381,acinar,celseq2,16.24726,6.3159795,0.0,0.2666666666666666
382,acinar,celseq2,6.624585,0.81401217,0.0,0.1333333333333333
383,acinar,celseq2,6.733885,0.33878654,0.0,0.0
384,acinar,celseq2,6.675877,0.1488308,0.0,0.0666666666666666
385,acinar,celseq2,6.5921607,0.60872126,0.0,0.0
