query_index,label,recall_at_5_standard_umap,recall_at_15_standard_umap,recall_at_5_umaping,recall_at_15_umaping,delta_recall_at_5,delta_recall_at_15
33,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
34,gamma,0.2,0.1333333333333333,0.0,0.0666666666666666,-0.2,-0.06666666666666671
35,gamma,0.0,0.2,0.0,0.0666666666666666,0.0,-0.13333333333333341
36,gamma,0.0,0.0,0.0,0.2,0.0,0.2
37,gamma,0.0,0.0,0.0,0.0,0.0,0.0
38,gamma,0.2,0.0666666666666666,0.0,0.0666666666666666,-0.2,0.0
39,gamma,0.0,0.0666666666666666,0.2,0.1333333333333333,0.2,0.06666666666666671
40,gamma,0.0,0.0,0.0,0.1333333333333333,0.0,0.1333333333333333
41,gamma,0.0,0.0,0.2,0.0666666666666666,0.2,0.0666666666666666
42,gamma,0.2,0.1333333333333333,0.4,0.3333333333333333,0.2,0.2
43,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
44,gamma,0.0,0.2,0.2,0.2,0.2,0.0
45,gamma,0.0,0.0666666666666666,0.2,0.2,0.2,0.13333333333333341
46,gamma,0.0,0.0666666666666666,0.2,0.1333333333333333,0.2,0.06666666666666671
47,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
48,gamma,0.0,0.0,0.0,0.0,0.0,0.0
49,gamma,0.0,0.0666666666666666,0.0,0.2666666666666666,0.0,0.2
50,gamma,0.0,0.0666666666666666,0.2,0.2,0.2,0.13333333333333341
51,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
52,gamma,0.0,0.0,0.2,0.2,0.2,0.2
53,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
54,gamma,0.0,0.0,0.0,0.1333333333333333,0.0,0.1333333333333333
55,gamma,0.0,0.0,0.0,0.0,0.0,0.0
56,gamma,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0,-0.06666666666666671
57,gamma,0.0,0.0,0.4,0.3333333333333333,0.4,0.3333333333333333
58,gamma,0.0,0.0,0.0,0.0,0.0,0.0
59,gamma,0.2,0.1333333333333333,0.0,0.0666666666666666,-0.2,-0.06666666666666671
60,gamma,0.0,0.0666666666666666,0.0,0.0,0.0,-0.0666666666666666
61,gamma,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0,-0.06666666666666671
62,gamma,0.0,0.0,0.2,0.2,0.2,0.2
63,gamma,0.0,0.2,0.0,0.0666666666666666,0.0,-0.13333333333333341
64,gamma,0.0,0.1333333333333333,0.0,0.2,0.0,0.06666666666666671
65,gamma,0.0,0.1333333333333333,0.0,0.1333333333333333,0.0,0.0
66,gamma,0.0,0.0666666666666666,0.0,0.2,0.0,0.13333333333333341
67,gamma,0.0,0.0,0.2,0.0666666666666666,0.2,0.0666666666666666
68,gamma,0.0,0.1333333333333333,0.0,0.1333333333333333,0.0,0.0
69,gamma,0.0,0.1333333333333333,0.0,0.2,0.0,0.06666666666666671
70,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
71,gamma,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0,-0.06666666666666671
72,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
73,gamma,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0,-0.06666666666666671
74,gamma,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0,-0.06666666666666671
75,gamma,0.0,0.1333333333333333,0.0,0.1333333333333333,0.0,0.0
76,gamma,0.0,0.0,0.4,0.2,0.4,0.2
77,gamma,0.2,0.0666666666666666,0.0,0.1333333333333333,-0.2,0.06666666666666671
78,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
79,gamma,0.0,0.1333333333333333,0.0,0.0,0.0,-0.1333333333333333
80,gamma,0.2,0.0666666666666666,0.0,0.1333333333333333,-0.2,0.06666666666666671
81,gamma,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0,-0.06666666666666671
82,gamma,0.0,0.0,0.0,0.0,0.0,0.0
83,gamma,0.0,0.0,0.0,0.1333333333333333,0.0,0.1333333333333333
84,gamma,0.0,0.0,0.0,0.2,0.0,0.2
85,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
86,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
87,gamma,0.0,0.1333333333333333,0.2,0.2,0.2,0.06666666666666671
88,gamma,0.0,0.2,0.2,0.2666666666666666,0.2,0.0666666666666666
89,gamma,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
90,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
91,gamma,0.2,0.2,0.0,0.0666666666666666,-0.2,-0.13333333333333341
92,gamma,0.0,0.2,0.0,0.0666666666666666,0.0,-0.13333333333333341
93,gamma,0.0,0.1333333333333333,0.0,0.0,0.0,-0.1333333333333333
94,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
95,gamma,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0,-0.06666666666666671
96,gamma,0.0,0.1333333333333333,0.2,0.0666666666666666,0.2,-0.06666666666666671
97,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
98,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
99,gamma,0.0,0.0666666666666666,0.0,0.2,0.0,0.13333333333333341
100,gamma,0.0,0.0666666666666666,0.0,0.2,0.0,0.13333333333333341
101,gamma,0.0,0.0,0.0,0.2666666666666666,0.0,0.2666666666666666
102,gamma,0.0,0.2,0.2,0.2,0.2,0.0
103,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
104,gamma,0.0,0.2,0.0,0.1333333333333333,0.0,-0.06666666666666671
105,gamma,0.0,0.0666666666666666,0.2,0.1333333333333333,0.2,0.06666666666666671
106,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
107,gamma,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0,-0.06666666666666671
108,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
109,gamma,0.0,0.1333333333333333,0.2,0.2,0.2,0.06666666666666671
110,gamma,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0,-0.06666666666666671
111,gamma,0.0,0.2,0.2,0.1333333333333333,0.2,-0.06666666666666671
112,gamma,0.0,0.0666666666666666,0.2,0.2,0.2,0.13333333333333341
113,gamma,0.0,0.0666666666666666,0.0,0.0,0.0,-0.0666666666666666
114,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
115,gamma,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0,-0.06666666666666671
116,gamma,0.0,0.0,0.2,0.2,0.2,0.2
117,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
118,gamma,0.0,0.0666666666666666,0.0,0.2,0.0,0.13333333333333341
119,gamma,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0,-0.06666666666666671
120,gamma,0.0,0.0666666666666666,0.2,0.2666666666666666,0.2,0.2
121,gamma,0.2,0.1333333333333333,0.2,0.1333333333333333,0.0,0.0
122,gamma,0.2,0.2,0.0,0.0666666666666666,-0.2,-0.13333333333333341
123,gamma,0.0,0.0666666666666666,0.0,0.0,0.0,-0.0666666666666666
124,gamma,0.0,0.0,0.2,0.2,0.2,0.2
125,gamma,0.0,0.0666666666666666,0.0,0.0,0.0,-0.0666666666666666
126,gamma,0.0,0.0666666666666666,0.2,0.2666666666666666,0.2,0.2
127,gamma,0.0,0.0666666666666666,0.0,0.0,0.0,-0.0666666666666666
128,gamma,0.0,0.1333333333333333,0.2,0.0666666666666666,0.2,-0.06666666666666671
129,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
130,gamma,0.0,0.0,0.0,0.0,0.0,0.0
131,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
132,gamma,0.0,0.0666666666666666,0.0,0.0,0.0,-0.0666666666666666
133,gamma,0.0,0.2,0.0,0.1333333333333333,0.0,-0.06666666666666671
134,gamma,0.0,0.0,0.2,0.1333333333333333,0.2,0.1333333333333333
