method,query_index,recall_at_15,ndcg,fuzzy_weighted_mse,fuzzy_weighted_bce,local_displacement,repulsion_accumulation_score,density_log_distortion,collapse_rate,global_periphery_percentile,latency_seconds,latency_scope,timepoint,timepoint_ordinal,horizon,temporal_neighbor_mae,excess_temporal_neighbor_mae,temporal_bracketing_rate,timepoint_label_accuracy
uniform_mc,5502,0.06666666666666667,0.10764243204553911,0.19250733543817,0.5608939978583528,0.3439884057933336,0.36292949318885803,0.013366483,0.0,0.09163691442172454,1.5158989485353231,per_query,4-5,3,0,1.0,,1.0,
uniform_mc,5503,0.06666666666666667,0.05135849223864361,0.2721234679579175,0.7479431791854653,0.5356367831957292,0.1717420518398285,0.18593222,0.0,0.5963972736124635,1.4224649416282773,per_query,4-5,3,0,1.0,,0.0,
uniform_mc,5504,0.2,0.18033189990288434,0.13686970638712342,0.4090188175032746,0.12102616192773065,0.36574217677116394,0.24147959,0.0,0.9691117602510008,1.7490887753665447,per_query,4-5,3,0,1.0,,1.0,
uniform_mc,5505,0.4,0.3879797024909102,0.01479383089024931,0.08599801286110745,0.0972432655486491,0.20061247050762177,0.055993184,0.0,0.9884777669587796,1.440151591785252,per_query,4-5,3,0,1.0,,0.0,
uniform_mc,5506,0.0,0.0,0.5685373487630436,1.7489289760966864,0.889050716454237,0.2529247999191284,0.3337266,0.0,0.18614086335605323,1.5197428949177265,per_query,4-5,3,0,1.1333333333333333,,1.0,
uniform_mc,5507,0.13333333333333333,0.12729860692659126,0.054085832666174734,0.19679462396221467,0.31185606797233545,0.221925288438797,1.1398712,0.0,0.7035594503948934,1.4397035278379917,per_query,4-5,3,0,1.0,,1.0,
uniform_mc,5508,0.0,0.0,0.04934196917230332,0.16182009860797075,0.3172805676327113,0.03653480485081673,0.6431696,0.0,0.989072811857622,1.4798489725217223,per_query,4-5,3,0,1.0,,0.0,
uniform_mc,5509,0.0,0.0,0.17206445560401173,0.5159783828448746,0.1892367945986328,0.4452088475227356,0.4386615,0.0,0.5431137076706697,1.476681288331747,per_query,4-5,3,0,1.0,,0.0,
uniform_mc,5510,0.13333333333333333,0.17364308707670803,0.4729823504532182,1.7411218550412577,0.4841402371630063,0.2257433533668518,0.3049898,0.0,0.022016661257167586,1.4779143501073122,per_query,4-5,3,0,1.0,,0.0,
uniform_mc,5511,0.0,0.0,0.6557243085575449,2.3433845535278404,0.6086462836080025,0.18690167367458344,0.46792322,0.0,0.17613329005734069,1.4629523465409875,per_query,4-5,3,0,1.0,,0.0,
uniform_mc,5512,0.06666666666666667,0.17060921827860476,0.28997586277920784,0.7951885764128546,0.28186297247787756,0.3441261351108551,0.26991612,0.0,0.6726712106458942,1.3050671722739935,per_query,4-5,3,0,1.1333333333333333,,0.0,
