split,group,n,recall5,recall15,within_recall5,within_recall15,log_radius5,log_radius15,abs_log_radius5,abs_log_radius15,within_log_radius15,within_abs_log_radius15,wrong_turn15,wrong_branch15,bridge_near_recall15,bridge_edge_loss15,bridge_true_edges15,bridge_cross_edge_loss15,bridge_cross_true_edges15,log_radius15_q10,log_radius15_q90,scale,method,condition,seed
reference,B_branch_2,170,0.5741176470588235,0.7607843137254903,0.5741176470588235,0.7607843137254903,-0.22978052398507107,0.39177789546453273,0.34486780305983195,0.40322029269108456,0.39177789546453273,0.40322029269108456,0.0,0.0,,,0,,0,0.04793839437810849,0.7044849790217425,0.6833925698580402,umap,sparse_bridge,0
reference,B_branch_3,212,0.5773584905660377,0.7462264150943396,0.5783018867924529,0.7503144654088049,-0.35937101160846974,0.16638683604460253,0.43358031262815405,0.2722982592570071,0.1680382467114297,0.27064684859017996,0.0,0.0,0.7454545454545454,0.3103448275862069,29,0.3103448275862069,29,-0.2148695170820604,0.48099349440601047,0.6833925698580402,umap,sparse_bridge,0
reference,B_branch_4,194,0.6123711340206185,0.7865979381443299,0.6123711340206185,0.7865979381443299,-0.38178406747019605,0.14897753714906734,0.4713823574822533,0.3607516785751366,0.14897753714906734,0.3607516785751366,0.0,0.0,,,0,,0,-0.2837693979131381,0.5698071769781065,0.6833925698580402,umap,sparse_bridge,0
reference,B_branch_5,194,0.5752577319587628,0.7501718213058418,0.5752577319587628,0.7501718213058418,-0.5544843621783162,0.09025347528863975,0.6155233899171687,0.282171641600955,0.09025347528863975,0.282171641600955,0.0,0.0,,,0,,0,-0.3616493852583766,0.45032166380935773,0.6833925698580402,umap,sparse_bridge,0
reference,B_branch_6,212,0.5971698113207546,0.7622641509433962,0.5971698113207546,0.7622641509433962,-0.34471865417874437,0.1802920021595195,0.4532314728906247,0.37274860089247774,0.1802920021595195,0.37274860089247774,0.0,0.0,,,0,,0,-0.2413819331253904,0.5748998945634287,0.6833925698580402,umap,sparse_bridge,0
reference,bridge_near,179,0.8871508379888269,0.9478584729981379,0.8994413407821229,0.9597765363128492,-0.39849096155375957,-0.2803211453929136,0.39882667103921265,0.2803211453929136,-0.2787367291772175,0.2787367291772175,0.0,0.0,0.9478584729981379,0.04270028466856446,2459,0.2097902097902098,143,-0.41429344859863476,-0.14920975664480757,0.6833925698580402,umap,sparse_bridge,0
query,all,1413,0.6208067940552018,0.8401981599433829,0.621656050955414,0.8408586930879925,-0.4556348237008804,0.0068785952578025045,0.5222893333193364,0.25658162337062873,0.006994910159039736,0.25646530846939153,0.0,0.0,0.9513108614232212,0.0432300163132137,1226,0.17543859649122806,57,-0.35005101312142295,0.4170162177271053,0.6833925698580402,umap,sparse_bridge,0
query,internal,1333,0.6037509377344336,0.8328082020505128,0.6042010502625657,0.833208302075519,-0.4624411209686323,0.022983544563029444,0.5323826501680806,0.25628824007461,0.02314694035703275,0.2561248442806067,0.0,0.0,0.8444444444444444,0.34615384615384615,26,0.34615384615384615,26,-0.34846633910722735,0.43022492369377013,0.6833925698580402,umap,sparse_bridge,0
query,A_spiral,667,0.6881559220389805,0.9126436781609195,0.6887556221889055,0.9131434282858572,-0.5828047394614925,-0.13579914286685174,0.5935713422783921,0.1912135132349551,-0.13584398649793447,0.19125835686603784,0.0,0.0,0.9166666666666667,0.3333333333333333,15,0.3333333333333333,15,-0.37272192248195024,0.11158704386024458,0.6833925698580402,umap,sparse_bridge,0
query,B_tree,666,0.5192192192192192,0.7528528528528529,0.5195195195195195,0.7531531531531531,-0.341896776321879,0.18200464443649905,0.4711020831446905,0.32146067671432443,0.1823765923273978,0.3210887288234257,0.0,0.0,0.7866666666666667,0.36363636363636365,11,0.36363636363636365,11,-0.21798847561995982,0.5813280141340286,0.6833925698580402,umap,sparse_bridge,0
query,bridge_AB,80,0.905,0.9633333333333333,0.9125,0.9683333333333335,-0.342224895476963,-0.2614701225405414,0.3541094413271361,0.2614701225405414,-0.2621382930150188,0.2621382930150188,0.0,0.0,0.9633333333333333,0.03666666666666667,1200,0.03225806451612903,31,-0.3684087412939839,-0.153636076917956,0.6833925698580402,umap,sparse_bridge,0
query,B_branch_0,90,0.5222222222222223,0.7481481481481481,0.5222222222222223,0.7481481481481481,-0.40385703364551456,0.1425605493909611,0.5493007618921795,0.32097507054981395,0.1425605493909611,0.32097507054981395,0.0,0.0,,,0,,0,-0.30083116544854366,0.6022852608728007,0.6833925698580402,umap,sparse_bridge,0
query,B_branch_1,85,0.5129411764705882,0.7529411764705882,0.5129411764705882,0.7529411764705882,-0.1642194831978781,0.3695209766742952,0.3379722957317129,0.38678043054388667,0.3695209766742952,0.38678043054388667,0.0,0.0,,,0,,0,0.07409387370801848,0.7264980039999511,0.6833925698580402,umap,sparse_bridge,0
query,B_branch_2,85,0.52,0.7396078431372549,0.52,0.7396078431372549,-0.23923603911415914,0.3517640667072102,0.38324784592016786,0.38142945720385935,0.3517640667072102,0.38142945720385935,0.0,0.0,,,0,,0,-0.04216938369805337,0.6558728514124921,0.6833925698580402,umap,sparse_bridge,0
query,B_branch_3,106,0.5169811320754717,0.7591194968553457,0.5188679245283019,0.761006289308176,-0.40409716925336236,0.10871079964452447,0.48414417688726213,0.2485019367916731,0.111047755260926,0.2461649811752716,0.0,0.0,0.7866666666666666,0.36363636363636365,11,0.36363636363636365,11,-0.25486985335849544,0.4010729697302907,0.6833925698580402,umap,sparse_bridge,0
query,B_branch_4,97,0.5051546391752577,0.7560137457044674,0.5051546391752577,0.7560137457044674,-0.46807252176450664,0.09609400624913154,0.5353019979626095,0.3366452127067568,0.09609400624913154,0.3366452127067568,0.0,0.0,,,0,,0,-0.36362756946635244,0.5380644758856518,0.6833925698580402,umap,sparse_bridge,0
query,B_branch_5,97,0.5298969072164949,0.763573883161512,0.5298969072164949,0.763573883161512,-0.37096958605402364,0.10171335119468382,0.5788852074363958,0.27925013182209596,0.10171335119468382,0.27925013182209596,0.0,0.0,,,0,,0,-0.3457558655283188,0.5057865642790188,0.6833925698580402,umap,sparse_bridge,0
query,B_branch_6,106,0.5264150943396227,0.7484276729559749,0.5264150943396227,0.7484276729559749,-0.3098209076084727,0.1543844964879645,0.41148834990475985,0.3190958506083239,0.1543844964879645,0.3190958506083239,0.0,0.0,,,0,,0,-0.27050288128323136,0.5354886243373806,0.6833925698580402,umap,sparse_bridge,0
query,bridge_near,89,0.8651685393258427,0.9513108614232211,0.8786516853932584,0.9617977528089887,-0.4160370637354423,-0.29058383259433757,0.42671980157829453,0.29058383259433757,-0.2887371701735713,0.2887371701735713,0.0,0.0,0.9513108614232211,0.0432300163132137,1226,0.17543859649122806,57,-0.40039163307152276,-0.15946639348524136,0.6833925698580402,umap,sparse_bridge,0
reference,all,2826,0.6938428874734607,0.8225760792639775,0.695116772823779,0.8292285916489739,-0.48019721187393166,-0.0002059474457193914,0.5585358923365928,0.29535846665872373,0.010125932288805513,0.30237365609726286,0.004010379806558151,0.0,0.8499068901303538,0.14884099227328182,2459,0.36363636363636365,143,-0.44052868817799556,0.47419874694725805,0.5151068407105742,uniform,sparse_bridge,0
reference,internal,2666,0.6818454613653412,0.8204301075268818,0.682145536384096,0.8231807951987998,-0.49847335002192406,0.004532129208805488,0.5720376535976718,0.30010007648554693,0.010663388621284704,0.30446972402993794,0.004251062765691423,0.0,0.7789473684210527,0.4406779661016949,59,0.4406779661016949,59,-0.4524530930593919,0.48326850010138567,0.5151068407105742,uniform,sparse_bridge,0
reference,A_spiral,1334,0.756671664167916,0.8843078460769618,0.7572713643178409,0.8878560719640181,-0.553291726576191,-0.12690907514007088,0.5863638636971131,0.24791981497110616,-0.117760556988108,0.2543129355731058,0.008495752123938032,0.0,0.85,0.5,30,0.5,30,-0.47033891876924855,0.24999210411825096,0.5151068407105742,uniform,sparse_bridge,0
