split,group,n,recall5,recall15,within_recall5,within_recall15,log_radius5,log_radius15,abs_log_radius5,abs_log_radius15,within_log_radius15,within_abs_log_radius15,wrong_turn15,wrong_branch15,bridge_near_recall15,bridge_edge_loss15,bridge_true_edges15,bridge_cross_edge_loss15,bridge_cross_true_edges15,log_radius15_q10,log_radius15_q90,scale,method,condition,seed
reference,B_branch_5,194,0.5711340206185566,0.7518900343642612,0.5711340206185566,0.7518900343642612,-0.4748440674888355,0.117026907347201,0.5549938325490097,0.3109472153146806,0.117026907347201,0.3109472153146806,0.0,0.0010309278350515,,,0,,0,-0.3073306596791778,0.5239486665266043,0.802324702450026,umap,disconnected,0
reference,B_branch_6,212,0.5783018867924528,0.7455974842767296,0.5783018867924528,0.7455974842767296,-0.316659744771944,0.2282569393831005,0.4570861858039853,0.4172883146845067,0.2282569393831005,0.4172883146845067,0.0,0.0132075471698113,,,0,,0,-0.2635964912856068,0.707766888617333,0.802324702450026,umap,disconnected,0
query,all,2000,0.6387999999999999,0.8223333333333335,0.6387999999999999,0.8223333333333335,-0.4367608893153129,-0.0303637642927681,0.5242157639007748,0.2732663219261101,-0.0303637642927681,0.2732663219261101,0.0,0.0011666666666666,,,0,,0,-0.4117019977259474,0.4209835634888662,0.802324702450026,umap,disconnected,0
query,internal,2000,0.6387999999999999,0.8223333333333335,0.6387999999999999,0.8223333333333335,-0.4367608893153129,-0.0303637642927681,0.5242157639007748,0.2732663219261101,-0.0303637642927681,0.2732663219261101,0.0,0.0011666666666666,,,0,,0,-0.4117019977259474,0.4209835634888662,0.802324702450026,umap,disconnected,0
query,A_spiral,667,0.6830584707646176,0.9253373313343328,0.6830584707646176,0.9253373313343328,-0.5970160998901848,-0.1343743422595424,0.605165477000212,0.1788252107307753,-0.1343743422595424,0.1788252107307753,0.0,0.0,,,0,,0,-0.3225643846385079,0.0874919703202509,0.802324702450026,umap,disconnected,0
query,B_tree,666,0.521021021021021,0.7491491491491492,0.521021021021021,0.7491491491491492,-0.3531510662451337,0.171754263973952,0.4898572185322513,0.3362248629132252,0.171754263973952,0.3362248629132252,0.0,0.0035035035035035,,,0,,0,-0.2743099684273281,0.6174776069726076,0.802324702450026,umap,disconnected,0
query,C_ellipse,667,0.712143928035982,0.7924037981009496,0.712143928035982,0.7924037981009496,-0.3599901497520441,-0.1281681890630787,0.4775730841078393,0.3048432827505026,-0.1281681890630787,0.3048432827505026,0.0,0.0,,,0,,0,-0.7748577655891956,0.3000258569131525,0.802324702450026,umap,disconnected,0
query,B_branch_0,90,0.5311111111111112,0.7592592592592592,0.5311111111111112,0.7592592592592592,-0.4845732810543572,-0.0043902666704424,0.592048914573415,0.2877006644356749,-0.0043902666704424,0.2877006644356749,0.0,0.0,,,0,,0,-0.4423332610312854,0.5232046656223831,0.802324702450026,umap,disconnected,0
query,B_branch_1,85,0.5223529411764706,0.7419607843137255,0.5223529411764706,0.7419607843137255,-0.0613312547003002,0.4394248607203052,0.3225613278171442,0.4416247564810236,0.4394248607203052,0.4416247564810236,0.0,0.0,,,0,,0,0.1111804311215434,0.7819303903069498,0.802324702450026,umap,disconnected,0
query,B_branch_2,85,0.5082352941176471,0.7419607843137254,0.5082352941176471,0.7419607843137254,-0.3280112232606272,0.2876097423587636,0.4331047061307978,0.3110380476902903,0.2876097423587636,0.3110380476902903,0.0,0.0,,,0,,0,0.0215033956840017,0.6408270855136824,0.802324702450026,umap,disconnected,0
query,B_branch_3,106,0.5377358490566037,0.7572327044025157,0.5377358490566037,0.7572327044025157,-0.4170697047635746,0.1416307421326853,0.5302819833046439,0.3292325858233778,0.1416307421326853,0.3292325858233778,0.0,0.0,,,0,,0,-0.3587336564934062,0.561029693701615,0.802324702450026,umap,disconnected,0
query,B_branch_4,97,0.5257731958762887,0.7587628865979381,0.5257731958762887,0.7587628865979381,-0.4859018116661588,0.0815622821350021,0.5885112094860887,0.3239603468997732,0.0815622821350021,0.3239603468997732,0.0,0.0,,,0,,0,-0.4025587267787258,0.6086998189226038,0.802324702450026,umap,disconnected,0
query,B_branch_5,97,0.4989690721649484,0.7422680412371132,0.4989690721649484,0.7422680412371132,-0.3738030586091339,0.1037453420290099,0.5097106682280225,0.3012410039991018,0.1037453420290099,0.3012410039991018,0.0,0.0151202749140893,,,0,,0,-0.3474609632539492,0.5113500599363433,0.802324702450026,umap,disconnected,0
query,B_branch_6,106,0.5207547169811321,0.7415094339622642,0.5207547169811321,0.7415094339622642,-0.2914353120381676,0.1886587201443131,0.4338818865729801,0.3633318435091187,0.1886587201443131,0.3633318435091187,0.0,0.0081761006289308,,,0,,0,-0.2981789681502128,0.6125118618127106,0.802324702450026,umap,disconnected,0
reference,all,4000,0.70245,0.7983333333333333,0.70245,0.7983333333333333,-0.558473055675908,-0.0687907916369327,0.6211151620689359,0.3253347095739565,-0.0687579821281375,0.3253675190827517,0.0041166666666666,0.0,,,0,,0,-0.6163139152634105,0.4010859268507067,0.580929522066829,uniform,disconnected,0
reference,internal,4000,0.70245,0.7983333333333333,0.70245,0.7983333333333333,-0.558473055675908,-0.0687907916369327,0.6211151620689359,0.3253347095739565,-0.0687579821281375,0.3253675190827517,0.0041166666666666,0.0,,,0,,0,-0.6163139152634105,0.4010859268507067,0.580929522066829,uniform,disconnected,0
reference,A_spiral,1334,0.7538230884557721,0.8889555222388806,0.7538230884557721,0.8889555222388806,-0.4721371709216458,-0.0194670199904776,0.5207933677974174,0.2640981762220108,-0.0194670199904776,0.2640981762220108,0.012343828085957,0.0,,,0,,0,-0.431358999075556,0.3687218350347483,0.580929522066829,uniform,disconnected,0
