seed,method,split,group,n,delta_recall15,delta_within_recall15,delta_abs_log_radius15,delta_within_abs_log_radius15,delta_log_radius15
1,pca,query,internal,2000,0.0,0.0,2.7516877665334213e-16,2.687294831105162e-16,-3.047562202596544e-17
1,pca,query,A_spiral,667,0.0,0.0,4.554078253934717e-16,4.534104226505179e-16,-6.99756760948157e-16
1,pca,query,B_tree,666,0.0,0.0,-1.171902081548776e-16,-1.3519382477042073e-16,-1.6836715538608548e-17
1,pca,query,C_ellipse,667,0.0,0.0,4.867004683663975e-16,4.873662692807154e-16,6.251870585445326e-16
1,umap,reference,internal,4000,0.0007999999999999997,0.0020833333333333324,-0.01415119738056621,-0.014064525453526931,0.03209249936345181
1,umap,reference,A_spiral,1334,0.0013493253373313308,0.0035482258870564677,-0.015884551467921,-0.015760723695664055,0.005628330602813829
1,umap,reference,B_tree,1332,0.0006506506506506528,0.0019019019019019042,-0.015181772266461295,-0.015337756948610995,0.0423996399769812
1,umap,reference,C_ellipse,1334,0.00039980009995002554,0.0007996001999000503,-0.011388813497100279,-0.011097004609101962,0.04826498049498846
1,umap,query,internal,2000,0.0025333333333333323,0.0033999999999999985,-0.012844089048458102,-0.013050021980602294,0.03246018632199729
1,umap,query,A_spiral,667,0.004697651174412794,0.00689655172413793,-0.020277124235994363,-0.01927531168908283,0.008462720124059214
1,umap,query,B_tree,666,0.0011011011011011016,0.0018018018018018018,-0.008497858802500924,-0.009373525884282911,0.05113681049614665
1,umap,query,C_ellipse,667,0.001799100449775108,0.00149925037481259,-0.009750768019553747,-0.010495716380290728,0.03780902928157934
1,uniform,reference,internal,4000,-0.010750000000000003,-0.006083333333333334,0.003511683997187534,0.0065589293236637015,0.0359421867630339
1,uniform,reference,A_spiral,1334,-0.006946526736631685,-0.006896551724137932,-0.0030673825720450845,-0.002021002731032441,0.029731789667274442
1,uniform,reference,B_tree,1332,-0.008208208208208211,-0.0014014014014014041,0.002452996781481099,0.012475594981512354,0.04317015116451763
1,uniform,reference,C_ellipse,1334,-0.017091454272863568,-0.00994502748625687,0.011147850544921626,0.009231066283716357,0.03493545598564769
1,uniform,query,internal,2000,-0.008266666666666667,-0.0032,0.006872393876820535,0.009055124806195072,0.03627135236106364
1,uniform,query,A_spiral,667,-0.007096451774112945,-0.006796601699150426,-0.0015705585904319066,-0.0004214404243985501,0.03104090741570016
1,uniform,query,B_tree,666,-0.004004004004004005,0.004604604604604604,0.004680581879066644,0.012892416256072056,0.0529943776516865
1,uniform,query,C_ellipse,667,-0.013693153423288355,-0.007396301849075463,0.01750387226686772,0.014700151647556205,0.024803844017739236
1,fitgrid,reference,internal,4000,-0.010750000000000003,-0.006083333333333334,0.003511683997187534,0.0065589293236637015,0.0359421867630339
1,fitgrid,reference,A_spiral,1334,-0.006946526736631685,-0.006896551724137932,-0.0030673825720450845,-0.002021002731032441,0.029731789667274442
1,fitgrid,reference,B_tree,1332,-0.008208208208208211,-0.0014014014014014041,0.002452996781481099,0.012475594981512354,0.04317015116451763
1,fitgrid,reference,C_ellipse,1334,-0.017091454272863568,-0.00994502748625687,0.011147850544921626,0.009231066283716357,0.03493545598564769
1,fitgrid,query,internal,2000,-0.008400000000000001,-0.0031999999999999997,0.006992910041457488,0.009168362062883819,0.03620338760873926
1,fitgrid,query,A_spiral,667,-0.007396301849075463,-0.007096451774112942,-0.0017678043296413017,-0.0006243219723494251,0.030864681539425606
1,fitgrid,query,B_tree,666,-0.004104104104104105,0.004404404404404405,0.004313141300216412,0.012509771208948627,0.05382895774032937
1,fitgrid,query,C_ellipse,667,-0.013693153423288357,-0.006896551724137932,0.018429375509507632,0.015624646560966895,0.023942948689088864
2,pca,reference,internal,4000,0.0,0.0,8.051892486094221e-17,7.2386541205563e-17,2.6284530108002577e-17
2,pca,reference,A_spiral,1334,0.0,0.0,4.510801194504003e-16,4.4017762947844424e-16,-9.054892434724538e-17
2,pca,reference,B_tree,1332,0.0,0.0,-4.484234138501053e-17,-5.117694723122008e-17,-2.6838724769466923e-17
2,pca,reference,C_ellipse,1334,0.0,0.0,-1.6486895140796942e-16,-1.7202631123688721e-16,1.9616159438093361e-16
2,pca,query,internal,2000,0.0,0.0,2.7516877665334213e-16,2.687294831105162e-16,-3.047562202596544e-17
