comparison,condition,seed,split,group,delta_within_recall15,delta_abs_log_radius15,delta_log_radius15,delta_bridge_edge_loss15
Uniform minus UMAP,sparse_bridge,2,reference,all,-0.024444444444444602,0.06076866240412021,-0.014030021645277299,0.0678207739307536
Uniform minus UMAP,sparse_bridge,2,reference,internal,-0.021399999999999975,0.051069686956049964,-0.0202604997650154,-0.009090909090909094
Uniform minus UMAP,sparse_bridge,2,reference,A_spiral,-0.030234882558720533,0.09691634024462581,-0.023803070003654198,0.10000000000000003
Uniform minus UMAP,sparse_bridge,2,reference,B_tree,-0.006406406406406218,0.017871758357537737,-0.05802556122109109,-0.08695652173913043
Uniform minus UMAP,sparse_bridge,2,reference,C_ellipse,-0.02753623188405796,0.0383711902590918,0.020990512647156095,0.0
Uniform minus UMAP,sparse_bridge,2,reference,bridge_AB,-0.030416666666666536,0.12742421409420499,0.3321077590542401,0.0479166666666667
Uniform minus UMAP,sparse_bridge,2,reference,bridge_BC,-0.09458333333333324,0.23658749691579156,-0.20440584935134176,0.09125
Uniform minus UMAP,sparse_bridge,2,reference,B_branch_0,-0.006296296296296133,-0.01623903643843083,-0.43193800079550704,
Uniform minus UMAP,sparse_bridge,2,reference,B_branch_1,-0.01098039215686275,-0.005349317926659769,-0.05156363864171998,
Uniform minus UMAP,sparse_bridge,2,reference,B_branch_2,-0.0039215686274509665,-0.02189022005892033,-0.03826102788650476,
Uniform minus UMAP,sparse_bridge,2,reference,B_branch_3,-0.014465408805031443,-0.053855504295126255,-0.0537833549633801,-0.31034482758620696
Uniform minus UMAP,sparse_bridge,2,reference,B_branch_4,-0.0027491408934707806,0.005098132456380466,0.1379682112725068,
Uniform minus UMAP,sparse_bridge,2,reference,B_branch_5,-0.0017182130584192379,0.08907881906880172,-0.0717626231422873,
Uniform minus UMAP,sparse_bridge,2,reference,B_branch_6,-0.004402515723270439,0.11559419086503742,0.06739232576165052,0.2941176470588236
Uniform minus UMAP,sparse_bridge,2,reference,bridge_near,-0.06067415730337089,0.1592497356727975,0.06058265773027588,0.0678207739307536
Uniform minus UMAP,sparse_bridge,2,query,all,-0.028672839506172942,0.06736683302556501,-0.022883095608490903,0.0634725634725635
Uniform minus UMAP,sparse_bridge,2,query,internal,-0.02626666666666666,0.05855907894095519,-0.0306475709387637,-0.07142857142857148
Uniform minus UMAP,sparse_bridge,2,query,A_spiral,-0.023088455772114158,0.09676712239768512,-0.023047810903936594,0.2666666666666667
Uniform minus UMAP,sparse_bridge,2,query,B_tree,-0.010610610610610749,0.037202308198734324,-0.0641283711419025,-0.38888888888888895
