path,bytes,mtime_ns,sha256,tasks,unchanged
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/repulsion_training/fit_grid/validation.csv,7259,1789474124946209271,62d8a5854ff2663fb9bdc20fb977d3568420034d9d92c2db2810cd002392342e,benchmark_training/validation,True
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/repulsion_training/uniform_mc/losses.csv,196930,1789459948873211610,ad3c6313d60c17f3be1435251915ad31170ac2f62c191fff502c390b56be2526,benchmark_training/loss;benchmark_training/std,True
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/repulsion_training/dual_raw_is/losses.csv,187440,1789460127030676339,c200d61f2359236d58672971c5bf5cd219eec611620ea4243c3d940e6aa38baf,benchmark_training/loss;benchmark_training/std,True
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/repulsion_training/dual_hub_is/losses.csv,187265,1789460307539191232,7f60f73eda5a5e7d5a4e2c7e67660c344ba6ffc4b643098186493d317298de63,benchmark_training/loss;benchmark_training/std,True
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/repulsion_training/dual_topl/losses.csv,195128,1789460580125709200,dde55bacaf9212cef83b5d6e07969932afbe2202cc7feedaa9c23263da97aca1,benchmark_training/loss;benchmark_training/std,True
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/repulsion_training/barnes_hut/losses.csv,197935,1789474081521689884,606c0ba08ae1128536fef70ab658240c33503c6a815f8a8c64a529209134ed35,benchmark_training/loss;benchmark_training/std,True
/home/suzuki/Learn/UMAPing/results/embryo_repulsion_estimators/recovery_20260915T104741Z_406100/repulsion_training/fit_grid/losses.csv,198258,1789474124944209247,cedc7c315ff5f3e9f2b08a2ee12dbdd6ec3eeaddd48457af19511d766dc63c9f,benchmark_training/loss;benchmark_training/std,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/exact_field/validation.npz,22069,1789515446052434876,66adacd87f082f7e7e43824db70b4020ddb48d0d39d3ab7ebed78bce642f556b,field/load,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/exact_field/metrics.csv,477,1789518762060180530,a148606470259de5ee560537d562c09a1cafeef043ed52770825f731ad5c0be2,field/load,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/exact_field/uniform_mc.npy,8128,1789515446349437905,cd7136441c8cb46cfd1997d087ac5f3b9dd0f45b9ebe85ae9125f98fab760e2b,field/load,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/exact_field/fit_grid.npy,8128,1789516794049757271,5e49bc1676c871d28c71a1a5f8a0046cd0da97af7b07353a269aef39226051cb,field/load,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/uniform_mc_evaluation/metrics/advanced_analysis.json,29422,1789498598853116936,8348e90b2656510a02ac10f6a7c915d11b8dd7430a8d3108c4c9d5d92d357ebb,field/load,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/fit_grid_evaluation/metrics/advanced_analysis.json,29406,1789515431034281842,f506560770174f53cbd5feff39f3373dce2b3392614f2b7cc694f790cdd790f7,field/load,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/exact_field/validation.npz,22028,1789555601739589249,a01978fee5ceb5d60a5d59343af03a51c40c0fc81f0bf483bb1633526a079c50,field/load,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/exact_field/metrics.csv,473,1789557684700325738,46b21d3bb5b96f47acb2a39aaee385bf32ac510766edc9fcb2706386c3ed1cf1,field/load,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/exact_field/uniform_mc.npy,8128,1789555601770589557,d132e8533795c1cb2b3df2fa56ddb21cedfcb437a2df1ba3d492e4783de35bd4,field/load,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/exact_field/fit_grid.npy,8128,1789556642350882924,23d0506065b65fc743806820b9fe8df8296c4266050370331120a1ca9802be2c,field/load,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/uniform_mc_evaluation/metrics/advanced_analysis.json,29662,1789541969485885341,5ddf3a597a0632066795f158e274ab1c34160389207fe6045d30c6e3723b71d0,field/load,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/fit_grid_evaluation/metrics/advanced_analysis.json,29657,1789555597284544903,070be3630aac1e4e4aecc0ddfb426d0a6bbaf0b9e0834f75de59341a03fe527a,field/load,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_seed_1/exact_field/validation.npz,22028,1789585592296898483,a01978fee5ceb5d60a5d59343af03a51c40c0fc81f0bf483bb1633526a079c50,field/load,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_seed_1/exact_field/metrics.csv,472,1789619916113819238,619d64e0d5fbaaa944c6b8341e39e38725f44bcbfa184fec3db5e42ddd4e57c7,field/load,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_seed_1/exact_field/uniform_mc.npy,8128,1789585592696904875,c25530cf68f05f5b700c1b29663f33fc55cfc31d4e97d89a12c3eeb56d8d5ea3,field/load,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_seed_1/exact_field/fit_grid.npy,8128,1789605692523547234,d498b1313fca625d4be756e103ce305315575f4bdeb1253a9a2061a844e2fdac,field/load,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/repulsion_training.json,107101,1789310114911637310,6c9f46e4a15dca2c147918bb7ae0cfeb5713d6347c5c538b2bfd5cb515a27166,training/current_runs,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/fit_grid/metrics/repulsion_training.json,91811,1789479017567813130,16d0669c1955913b7a315998e0bf03cf7ca7d51c006e40cf35831a8fc6343ccd,training/current_runs,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_uniform/metrics/repulsion_training.json,107051,1789521822867013891,5a91e4fbdff4dcb1384acb45428ab32fef069c5f95683cef2781fca6d023d5c8,training/current_runs,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_uniform/metrics/losses.csv,197098,1789521822890014116,7150bfd6fa738c0616c5a9456f904aa069b1266b5f40a4b5ac397e755c4074ff,training/current_runs,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_fit_grid/metrics/repulsion_training.json,93753,1789521863770416396,40c5435c1c7db2f8a4651b7c067bb194355b86105b43a5cc312264b5b957c09d,training/current_runs,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_fit_grid/metrics/losses.csv,197504,1789521863790416594,302d1ee3b0de7233e372c550085299e1b2c25aaad43ea7fd3e07b44ad82383aa,training/current_runs,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_seed_1_uniform/metrics/repulsion_training.json,107079,1789585445525473980,9e489d60deadcc41e60067e061e1672a8c43a539937b57738373a19d1d5a9ebe,training/current_runs,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_seed_1_uniform/metrics/losses.csv,197119,1789585445538474203,d2a8fdb3efda341f9932ad52b1c87247e3acb992565bb4af6e07c86ca75fa780,training/current_runs,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_seed_1_fit_grid/metrics/repulsion_training.json,93801,1789585583604759334,1c5ab3344156f42f97ccaa06ab4ef38c3d5f5a9552abf46d1dca3d1919172999,training/current_runs,True
/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_seed_1_fit_grid/metrics/losses.csv,197149,1789585583619759574,16c61452d28168c7f6f3ee81b3bbc7067949e22ea0ebb963787d56addbbd3d79,training/current_runs,True
