method,query_index,recall_at_5,recall_at_10,recall_at_15,recall_at_30,ndcg,fuzzy_weighted_mse,fuzzy_weighted_bce,local_displacement,repulsion_accumulation_score,periphery_percentile,label
standard_umap,13,0.6,0.8,0.8666666666666667,0.8,0.8624285860765342,0.004924634024201711,0.04973655138169853,0.44276476294081274,0.6230074763298035,87.03703703703704,10
standard_umap,14,0.6,0.8,0.8666666666666667,0.8333333333333334,0.8867433632845332,0.0102808831022216,0.07152425600149832,0.22415559231303928,0.28399038314819336,24.074074074074073,10
standard_umap,15,0.4,0.6,0.6,0.7,0.7710124324588417,0.016929580956766024,0.11479003043719818,0.6351288576146306,0.459137886762619,35.18518518518518,10
standard_umap,16,0.4,0.9,0.7333333333333333,0.8,0.8450793864988746,0.005452296086726808,0.04390054840216807,0.22667731858563425,0.034945882856845856,35.18518518518518,10
standard_umap,17,0.4,0.7,0.8666666666666667,0.7666666666666667,0.8349934736397958,0.017466931077535167,0.1059962576415898,0.535712509867109,0.4909156560897827,46.2962962962963,10
standard_umap,18,0.6,0.8,0.8666666666666667,0.9333333333333333,0.955012240512099,0.02092338222398754,0.14086025895979232,0.966753782636132,0.7024373412132263,87.03703703703704,11
standard_umap,19,0.8,0.7,0.8666666666666667,0.8666666666666667,0.9102992288954239,0.015645984019326955,0.09544065778142044,0.5083181802234863,0.572265625,77.77777777777779,11
standard_umap,20,0.8,0.9,0.6666666666666666,0.4,0.5558800838969039,0.10119295777999407,0.35879245804765253,0.21847437347599427,0.36370259523391724,100.0,11
standard_umap,21,0.8,0.9,0.7333333333333333,0.4,0.5558800838969039,0.06888958025594898,0.28337865808382734,0.044013692703798006,0.16105212271213531,100.0,11
standard_umap,22,0.8,0.9,0.9333333333333333,0.6333333333333333,0.7401342883250243,0.009778135984098626,0.08185803937367546,0.6890624816389861,0.735894501209259,94.44444444444444,11
standard_umap,23,0.8,0.9,0.8,0.8666666666666667,0.8989092455250309,0.009185773983354201,0.07145661282135936,0.5935003418618892,0.6127816438674927,61.111111111111114,11
standard_umap,24,0.8,0.9,0.8666666666666667,0.9,0.9293138708293676,0.007600137931771636,0.07434959410590067,0.5768679683063835,0.659153938293457,68.51851851851852,11
standard_umap,25,0.8,0.8,0.8666666666666667,0.9,0.9323071422625164,0.01306478196549097,0.10717935137512681,0.6929092639015645,0.6665428280830383,87.03703703703704,11
standard_umap,26,0.6,1.0,0.8666666666666667,0.9333333333333333,0.9547463327299066,0.0035710104343633364,0.04656468838993266,0.513769714474451,0.6236065030097961,79.62962962962963,11
standard_umap,27,0.6,0.8,0.8,0.9333333333333333,0.9543099729072868,0.005169294007631015,0.05080188112020401,0.524553965129042,0.5864574909210205,75.92592592592592,11
standard_umap,28,0.4,0.8,0.8666666666666667,0.9333333333333333,0.9547998360701668,0.009897509376478333,0.08741682614033952,1.0414495777130466,0.7810401916503906,88.88888888888889,11
standard_umap,29,0.8,0.9,0.8666666666666667,0.8,0.8612632235111648,0.015446569973786722,0.10987843796880731,0.15139693876491236,0.28197765350341797,40.74074074074074,11
standard_umap,30,0.8,1.0,0.6666666666666666,0.3333333333333333,0.49593616181944333,0.10724954120338728,0.3952886749371005,0.23227737594948886,0.4200803339481354,100.0,11
standard_umap,31,1.0,0.9,0.7333333333333333,0.43333333333333335,0.579424884241076,0.06205587971479736,0.2577473283834331,0.1510535661952867,0.051474202424287796,87.03703703703704,11
standard_umap,32,1.0,0.9,0.9333333333333333,0.6666666666666666,0.7663101705742681,0.006544283880539635,0.057397117949821656,0.4435010384949969,0.5709712505340576,87.03703703703704,11
standard_umap,33,0.6,0.9,0.9333333333333333,0.8333333333333334,0.8801404809415436,0.005388568658382867,0.05585241398504609,0.4391805551676399,0.5501047372817993,51.85185185185185,11
standard_umap,34,0.6,0.9,0.8,0.7666666666666667,0.8327379463410215,0.007112302263683747,0.06458018814371055,0.3849719938245812,0.4267681837081909,31.48148148148148,11
standard_umap,35,0.4,0.8,0.9333333333333333,0.9,0.9320947378205844,0.007707969525312112,0.07697584395012387,1.0309728750115468,0.8174368739128113,92.5925925925926,11
standard_umap,36,0.4,0.9,0.9333333333333333,0.9333333333333333,0.9548264182517361,0.010390279781515625,0.095919555153588,1.7996458968239712,0.9116544127464294,100.0,12
standard_umap,37,0.0,0.4,0.8,0.9,0.9322778492312253,0.018572952325184203,0.1182699339251091,1.4494128116929639,0.7342014312744141,53.70370370370371,12
standard_umap,38,0.6,0.9,0.9333333333333333,0.8666666666666667,0.9095137611510734,0.0020318750072487956,0.029237621257427848,0.3832449537037753,0.5608216524124146,57.407407407407405,12
standard_umap,39,0.0,0.7,1.0,0.8,0.8602190853140858,0.007575433343672494,0.08112398150349147,1.345272760496282,0.734798014163971,57.407407407407405,12
standard_umap,40,0.8,0.8,0.9333333333333333,0.6666666666666666,0.765434976272652,0.0027100997591993185,0.031404025726674084,0.3025381828529698,0.1878790557384491,12.962962962962962,12
