method,bin_left,bin_right,count,fraction,total_weights,zero_count,positive_underflow_count,overflow_count,shape,layout
dual_raw_is,31.622776601683793,39.81071705534978,3280,0.001025,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,39.81071705534978,50.118723362727245,2192,0.000685,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,50.118723362727245,63.09573444801943,1264,0.000395,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,63.09573444801943,79.43282347242821,809,0.0002528125,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,79.43282347242821,100.0,477,0.0001490625,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,100.0,125.89254117941661,261,8.15625e-05,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,125.89254117941661,158.48931924611173,172,5.375e-05,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,158.48931924611173,199.52623149688827,93,2.90625e-05,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,199.52623149688827,251.18864315095823,56,1.75e-05,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,251.18864315095823,316.2277660168379,23,7.1875e-06,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,316.2277660168379,398.1071705534969,19,5.9375e-06,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,398.1071705534969,501.1872336272735,4,1.25e-06,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,501.1872336272735,630.9573444801943,2,6.25e-07,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,630.9573444801943,794.3282347242822,3,9.375e-07,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,794.3282347242822,1000.0,1,3.125e-07,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,1000.0,1258.9254117941662,2,6.25e-07,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,1258.9254117941662,1584.8931924611175,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,1584.8931924611175,1995.262314968883,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,1995.262314968883,2511.886431509582,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,2511.886431509582,3162.2776601683795,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,3162.2776601683795,3981.0717055349855,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,3981.0717055349855,5011.872336272735,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,5011.872336272735,6309.573444801943,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,6309.573444801943,7943.282347242822,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
