split,group,n,recall5,recall15,within_recall5,within_recall15,log_radius5,log_radius15,abs_log_radius5,abs_log_radius15,within_log_radius15,within_abs_log_radius15,wrong_turn15,wrong_branch15,bridge_near_recall15,bridge_edge_loss15,bridge_true_edges15,bridge_cross_edge_loss15,bridge_cross_true_edges15,log_radius15_q10,log_radius15_q90,scale,method,condition,stage
query,B_branch_5,97,1.0,1.0,1.0,1.0,-2.838508351619383e-16,-9.648639275866163e-16,6.469052098125151e-15,3.34554835152509e-15,-9.648639275866163e-16,3.34554835152509e-15,0.0,0.0,,,0,,0,-6.5725203057809475e-15,3.952393967665552e-15,1.0000000000000002,pca,disconnected,1.0
query,B_branch_6,106,1.0,1.0,1.0,1.0,-1.6098233857065415e-15,-6.127174239676746e-16,8.25440345006687e-15,4.446128999560179e-15,-6.127174239676746e-16,4.446128999560179e-15,0.0,0.0,,,0,,0,-7.382983113757318e-15,6.994405055138462e-15,1.0000000000000002,pca,disconnected,1.0
reference,all,2666,0.672768192048012,0.8437859464866216,0.672768192048012,0.8437859464866216,-0.45302359345797205,0.044861436876653095,0.5142149336151153,0.2619147690164993,0.044861436876653095,0.2619147690164993,0.0,0.0,,,0,,0,-0.29923644127102944,0.5068085486546662,0.6378167077271842,umap,disconnected,1.0
reference,internal,2666,0.672768192048012,0.8437859464866216,0.672768192048012,0.8437859464866216,-0.45302359345797205,0.044861436876653095,0.5142149336151153,0.2619147690164993,0.044861436876653095,0.2619147690164993,0.0,0.0,,,0,,0,-0.29923644127102944,0.5068085486546662,0.6378167077271842,umap,disconnected,1.0
reference,A_spiral,1334,0.7538230884557721,0.9261869065467266,0.7538230884557721,0.9261869065467266,-0.5298865661457001,-0.12163193147084703,0.5381991966444597,0.16090596249597916,-0.12163193147084703,0.16090596249597916,0.0,0.0,,,0,,0,-0.31198573612975555,0.08163854233552902,0.6378167077271842,umap,disconnected,1.0
reference,B_tree,1332,0.5915915915915916,0.7612612612612613,0.5915915915915916,0.7612612612612613,-0.3760452109013438,0.211604795266717,0.49019465817881985,0.36307524041167477,0.211604795266717,0.36307524041167477,0.0,0.0,,,0,,0,-0.25356249795743535,0.6538731547759977,0.6378167077271842,umap,disconnected,1.0
reference,B_branch_0,180,0.6088888888888888,0.7514814814814814,0.6088888888888888,0.7514814814814814,-0.4970732215990411,0.124548175544778,0.5623439514036115,0.3073708593729577,0.124548175544778,0.3073708593729577,0.0,0.0,,,0,,0,-0.26830942654655987,0.5737119393105141,0.6378167077271842,umap,disconnected,1.0
reference,B_branch_1,170,0.5623529411764705,0.7713725490196078,0.5623529411764705,0.7713725490196078,-0.09466708293112791,0.44940210330921554,0.329401271556467,0.45047513846027587,0.44940210330921554,0.45047513846027587,0.0,0.0,,,0,,0,0.1779002576038779,0.7452223108000214,0.6378167077271842,umap,disconnected,1.0
reference,B_branch_2,170,0.5705882352941176,0.7549019607843136,0.5705882352941176,0.7549019607843136,-0.3096403974519043,0.33031883448178323,0.3945803807178183,0.3553028654124437,0.33031883448178323,0.3553028654124437,0.0,0.0,,,0,,0,0.002923098414634271,0.7960588495120705,0.6378167077271842,umap,disconnected,1.0
reference,B_branch_3,212,0.6056603773584905,0.7556603773584906,0.6056603773584905,0.7556603773584906,-0.3944193407397977,0.15313000553030115,0.4957475461036604,0.3544954055854499,0.15313000553030115,0.3544954055854499,0.0,0.0,,,0,,0,-0.4170954351969909,0.6112795019133757,0.6378167077271842,umap,disconnected,1.0
