condition,method,stage,split,k,recall
disconnected,spectral_100_pca_2,0.75,query,15,0.7065467266366816
disconnected,spectral_100_pca_2,0.75,query,50,0.744287856071964
disconnected,spectral_100_pca_2,0.75,query,100,0.6138680659670165
disconnected,spectral_100_pca_2,0.75,query,200,0.5123538230884558
disconnected,spectral_100_pca_2,0.75,query,400,0.5176836581709146
disconnected,spectral_100_pca_2,1.0,reference,5,0.7556221889055472
disconnected,spectral_100_pca_2,1.0,reference,15,0.8662168915542229
disconnected,spectral_100_pca_2,1.0,reference,50,0.8229985007496252
disconnected,spectral_100_pca_2,1.0,reference,100,0.6488680659670165
disconnected,spectral_100_pca_2,1.0,reference,200,0.5191041979010494
disconnected,spectral_100_pca_2,1.0,reference,400,0.5182946026986507
disconnected,spectral_100_pca_2,1.0,query,5,0.7103448275862069
disconnected,spectral_100_pca_2,1.0,query,15,0.8705647176411795
disconnected,spectral_100_pca_2,1.0,query,50,0.8277361319340328
disconnected,spectral_100_pca_2,1.0,query,100,0.6549625187406297
disconnected,spectral_100_pca_2,1.0,query,200,0.5211694152923538
disconnected,spectral_100_pca_2,1.0,query,400,0.5194677661169416
sparse_bridge,pca,1.0,reference,5,1.0
sparse_bridge,pca,1.0,reference,15,1.0
sparse_bridge,pca,1.0,reference,50,1.0
sparse_bridge,pca,1.0,reference,100,1.0
sparse_bridge,pca,1.0,reference,200,1.0
sparse_bridge,pca,1.0,reference,400,1.0
sparse_bridge,pca,1.0,query,5,1.0
sparse_bridge,pca,1.0,query,15,1.0
sparse_bridge,pca,1.0,query,50,1.0
sparse_bridge,pca,1.0,query,100,1.0
sparse_bridge,pca,1.0,query,200,1.0
sparse_bridge,pca,1.0,query,400,1.0
sparse_bridge,umap,1.0,reference,5,0.7476761619190405
sparse_bridge,umap,1.0,reference,15,0.9113443278360821
sparse_bridge,umap,1.0,reference,50,0.9212293853073463
sparse_bridge,umap,1.0,reference,100,0.8065292353823089
sparse_bridge,umap,1.0,reference,200,0.5768403298350824
sparse_bridge,umap,1.0,reference,400,0.5009107946026986
sparse_bridge,umap,1.0,query,5,0.6887556221889055
sparse_bridge,umap,1.0,query,15,0.9131434282858572
sparse_bridge,umap,1.0,query,50,0.9252173913043479
sparse_bridge,umap,1.0,query,100,0.8107796101949025
sparse_bridge,umap,1.0,query,200,0.5798050974512743
sparse_bridge,umap,1.0,query,400,0.5021251874062969
sparse_bridge,baseline_3_to_2,0.0,reference,5,0.6367316341829086
sparse_bridge,baseline_3_to_2,0.0,reference,15,0.7647176411794103
sparse_bridge,baseline_3_to_2,0.0,reference,50,0.7099400299850075
sparse_bridge,baseline_3_to_2,0.0,reference,100,0.6317241379310345
sparse_bridge,baseline_3_to_2,0.0,reference,200,0.6059932533733133
sparse_bridge,baseline_3_to_2,0.0,reference,400,0.6648407046476762
sparse_bridge,baseline_3_to_2,0.0,query,5,0.638680659670165
sparse_bridge,baseline_3_to_2,0.0,query,15,0.7689155422288857
sparse_bridge,baseline_3_to_2,0.0,query,50,0.7166416791604197
sparse_bridge,baseline_3_to_2,0.0,query,100,0.6382608695652173
sparse_bridge,baseline_3_to_2,0.0,query,200,0.6067316341829085
sparse_bridge,baseline_3_to_2,0.0,query,400,0.6649925037481259
sparse_bridge,baseline_3_to_2,0.25,reference,5,0.10944527736131934
sparse_bridge,baseline_3_to_2,0.25,reference,15,0.2850074962518741
sparse_bridge,baseline_3_to_2,0.25,reference,50,0.4843478260869566
sparse_bridge,baseline_3_to_2,0.25,reference,100,0.5346176911544228
sparse_bridge,baseline_3_to_2,0.25,reference,200,0.5995802098950525
sparse_bridge,baseline_3_to_2,0.25,reference,400,0.7017934782608695
sparse_bridge,baseline_3_to_2,0.25,query,5,0.1328335832083958
sparse_bridge,baseline_3_to_2,0.25,query,15,0.32043978010994506
sparse_bridge,baseline_3_to_2,0.25,query,50,0.5292653673163418
sparse_bridge,baseline_3_to_2,0.25,query,100,0.5585157421289355
sparse_bridge,baseline_3_to_2,0.25,query,200,0.6061244377811094
sparse_bridge,baseline_3_to_2,0.25,query,400,0.7053973013493254
sparse_bridge,baseline_3_to_2,0.5,reference,5,0.18845577211394302
