condition,method,stage,split,group,pairs,spearman
sparse_bridge,direct_2,1.0,reference,all,19995,0.6669775799318618
sparse_bridge,direct_2,1.0,reference,A_spiral,19980,0.8468745817301571
sparse_bridge,direct_2,1.0,reference,B_tree,19982,0.8159994445633628
sparse_bridge,direct_2,1.0,query,all,19984,0.6714470445365454
sparse_bridge,direct_2,1.0,query,A_spiral,19963,0.8420555911445704
sparse_bridge,direct_2,1.0,query,B_tree,19960,0.8144249153454831
sparse_bridge,spectral_100_pca_2,0.0,reference,all,19995,0.1279467834904503
sparse_bridge,spectral_100_pca_2,0.0,reference,A_spiral,19980,0.7171642980748537
sparse_bridge,spectral_100_pca_2,0.0,reference,B_tree,19982,0.3346199903580857
sparse_bridge,spectral_100_pca_2,0.0,query,all,19984,0.14314909364891776
sparse_bridge,spectral_100_pca_2,0.0,query,A_spiral,19963,0.7162164344138805
sparse_bridge,spectral_100_pca_2,0.0,query,B_tree,19960,0.33757353328410983
sparse_bridge,spectral_100_pca_2,0.25,reference,all,19995,0.1779856674696806
sparse_bridge,spectral_100_pca_2,0.25,reference,A_spiral,19980,0.6632478149433033
sparse_bridge,spectral_100_pca_2,0.25,reference,B_tree,19982,0.45912255953822373
sparse_bridge,spectral_100_pca_2,0.25,query,all,19984,0.20085308188740122
sparse_bridge,spectral_100_pca_2,0.25,query,A_spiral,19963,0.6702368147460532
sparse_bridge,spectral_100_pca_2,0.25,query,B_tree,19960,0.482657098746884
sparse_bridge,spectral_100_pca_2,0.5,reference,all,19995,0.20494456481861054
sparse_bridge,spectral_100_pca_2,0.5,reference,A_spiral,19980,0.7075869472057866
sparse_bridge,spectral_100_pca_2,0.5,reference,B_tree,19982,0.5181545787749896
sparse_bridge,spectral_100_pca_2,0.5,query,all,19984,0.22690975321640602
sparse_bridge,spectral_100_pca_2,0.5,query,A_spiral,19963,0.7032883209306844
sparse_bridge,spectral_100_pca_2,0.5,query,B_tree,19960,0.5249922357622954
sparse_bridge,spectral_100_pca_2,0.75,reference,all,19995,0.22572199289585718
sparse_bridge,spectral_100_pca_2,0.75,reference,A_spiral,19980,0.7243627529057978
sparse_bridge,spectral_100_pca_2,0.75,reference,B_tree,19982,0.5322116519776057
sparse_bridge,spectral_100_pca_2,0.75,query,all,19984,0.24514832929741778
sparse_bridge,spectral_100_pca_2,0.75,query,A_spiral,19963,0.717133772380072
sparse_bridge,spectral_100_pca_2,0.75,query,B_tree,19960,0.5353054141147309
sparse_bridge,spectral_100_pca_2,1.0,reference,all,19995,0.23242594444561526
sparse_bridge,spectral_100_pca_2,1.0,reference,A_spiral,19980,0.7238531992721952
sparse_bridge,spectral_100_pca_2,1.0,reference,B_tree,19982,0.541057051889033
sparse_bridge,spectral_100_pca_2,1.0,query,all,19984,0.25202993110727506
sparse_bridge,spectral_100_pca_2,1.0,query,A_spiral,19963,0.7146856624993596
sparse_bridge,spectral_100_pca_2,1.0,query,B_tree,19960,0.5430884396029895
